X,Y,OBJECTID,CFNAME,CFTYPE,CFSUBTYPE,ADDRESS,GNISCODE,COMMENT,Jurisdiction,Community
1194407.76425,1755281.5055,1,Strassburg Elementary School,School,PubElem,2002 E 223rd St,419204,,SCHOOL DIST #168      ,Sauk Village
1196986.90375,1757237.243,2,Saint Mark's Lutheran School,School,PrivSchool,22012 Torrence Ave,2035677,,ST MARK EV LUTH CH    ,Sauk Village
1193313.0365,1760242.2645,5,Wagoner Elementary,School,PubElem,1825 E 215th Pl,426949,,SCHOOL DIST #168      ,Sauk Village
1203569.64775,1805050.041,6,Woodrow Wilson Elementary School,School,PubElem,560 Wentworth Ave,421308,,SCHOOL DIST #155      ,Calumet City
1203897.16625,1785472.3205,7,Saint Johns Lutheran School,School,PrivSchool,18100 Wentworth Ave,417417,,ST JOHN EVAN LUTH CH  ,Lansing
1202435.40875,1791944.52525,8,Reavis Elementary School,School,PubElem,17121 Roy St,416439,,SCHOOL DIST #158      ,Lansing
1200956.60975,1778063.025,9,Sunnybrook School,School,PubSchool,19266 Burnham Ave,,,SCHOOL DIST 171       ,Lansing
1200956.60975,1778063.025,10,Heritage Middle School,School,PubElem,19266 Burnham Ave,423739,,SCHOOL DIST 171       ,Lansing
1202349.5745,1779356.71625,11,Nathan Hale Elementary School,School,PubElem,19055 Burnham Ave,414295,,SCHOOL DIST 171       ,Lansing
1198756.0175,1777099.97825,12,Luther East High School,School,PrivHigh,2750 Glenwood-Lansing Rd,426990,,LUTHER E.SCH DIST ASSO,Lansing
1172366.72225,1770417.00225,13,Greenbriar Elementary School,School,PubElem,101 W Greenbriar Ave,409415,,SCHOOL DIST #170      ,Chicago Heights
1197340.75675,1756831.3735,14,Rickover Junior High School,School,PubElem,22151 Torrence Ave,423559,,SCHOOL DIST #168      ,Sauk Village
1175897.95,1774228.3555,15,Saint Kieran Catholic School,School,PrivSchool,724 W 195th St,417498,,CATHOLIC BISHOP CHGO  ,Chicago Heights
1167981.21775,1760446.5285,16,Beacon Hill Primary Center,School,PubSchool,401 Concord Dr N,422297,,SCHOOL DIST #163      ,Chicago Heights
1177701.645,1803740.777,17,Echo School,School,PubSchool,350 W 154th St,426798,,ECHO JOINT AGREEMENT  ,South Holland
1188792.86775,1799017.27925,18,Seton Academy,School,PrivSchool,16160 Seton Dr,428377,,CATHOLIC BISHOP CHGO  ,South Holland
1183070.7715,1796559.61375,19,Laren Montessori School,School,PrivSchool,425 E 164th St,423733,,LAREN MONTESSORI SCHL ,South Holland
1168355.41775,1798845.216,20,Maya Angelou Elementary School,School,PubElem,15700 Page Ave,407994,,SCHOOL DIST #152      ,Harvey
1171891.02025,1788453.26825,21,Lincoln School,School,PubSchool,1223 W 173rd St,412181,,SCHOOL DIST #152 1/2  ,East Hazel Crest
1172777.13775,1805499.055,22,Bryant Elementary School,School,PubElem,14735 Broadway Ave,405076,,SCHOOL DIST #152      ,Harvey
1165348.0225,1802099.6955,23,Outreach Exceptional Learning Academy,School,PrivSchool,15251 Dixie Hwy,,,OUTREACH COGIC        ,Harvey
1167331.3305,1802145.422,24,Washington Elementary School,School,PubElem,15227 Winchester Ave,420612,,SCHOOL DIST #147      ,Harvey
1182879.30325,1807773.8125,25,Franklin Elementary School,School,PubElem,14701 Chicago Rd,408699,,SCHOOL DIST #148      ,Dolton
1181128.547,1810668.542,26,Harriet Tubman School,School,PubSchool,343 E 142nd St,410978,,SCHOOL DIST #148      ,Dolton
1177766.476,1807853.19825,27,Roosevelt Junior High School,School,PubElem,111 W 146th St,426923,,SCHOOL DIST #148      ,Dolton
1177766.476,1807853.19825,28,Roosevelt Elementary School,School,PubElem,111 W 146th St,426923,,SCHOOL DIST #148      ,Dolton
1189451.4415,1810875.557,29,Trinity International University,School,HigherEd,14256 Dante Ave,,Feature name was found on google streetview,CHURCH OF GOD         ,Dolton
1169559.22725,1766133.73825,30,Saint Paul's Lutheran School,School,PrivSchool,330 W Highland Dr,417734,,ST PAUL LUTH CHURCH   ,Chicago Heights
1171446.6605,1766937.4065,31,Highland School,School,PubSchool,840 Birch Ln,410240,,SCHOOL DIST #170      ,Chicago Heights
1167714.6505,1765422.793,32,Division Street Junior High School,School,PubElem,1013 Division St,407244,,SCHOOL DIST #170      ,Chicago Heights
1167714.6505,1765422.793,33,Speed Independence Elementary School,School,PubElem,1013 Division St,,,SCHOOL DIST #170      ,Chicago Heights
1167714.6505,1765422.793,34,Speed Independence High School,School,PubHigh,1013 Division St,,,SCHOOL DIST #170      ,Chicago Heights
1167714.6505,1765422.793,35,Kennedy Elementary School,School,PubElem,1013 Division St,426800,,SCHOOL DIST #170      ,Chicago Heights
1172180.516,1777603.577,36,Winston Churchill School,School,PubSchool,1300 W 190th St,426801,,SCHOOL DIST #153      ,Homewood
1144122.15975,1769881.15275,37,Woodgate Elementary School,School,PubElem,101 Central Ave,1737300,,SCHOOL DIST #159      ,Matteson
1139830.94525,1768829.05375,38,Marya Yates Elementary School,School,PubElem,6131 Allemong Dr,1737302,,SCHOOL DIST #159      ,Matteson
1146800.12075,1766264.0965,40,Colin Powell Middle School,School,PubElem,20600 Matteson Ave,,,,Matteson
1174402.3565,1753161.6405,41,Saukview Elementary School,School,PubElem,3341 Miller Ave,422301,,SCHOOL DIST #194      ,South Chicago Heights
1165762.5745,1753222.2055,43,South Suburban SDA Christian School,School,PrivSchool,115 Chestnut St,,,LAKE REG CONF 7TH DAY ,Park Forest
1148917.47675,1784640.2595,44,Meadowview Elementary,School,PubElem,4701 W 179th St,426802,,SCHOOL DIST 160       ,Country Club Hills
1155572.59775,1791520.295,45,Nob Hill Elementary School,School,PubElem,3701 W 168th St,426750,,SCHOOL DIST #144      ,Country Club Hills
1151930.4035,1781268.1485,46,Saint John's Lutheran School,School,PrivSchool,4231 W 183rd St,417416,,ST JOHNS EV LUTH CH   ,Country Club Hills
1157126.4425,1790179.9125,47,Highlands Elementary School,School,PubElem,3420 Laurel Ln,409972,,SCHOOL DIST #144      ,Hazel Crest
1157182.81375,1786814.70575,48,Junior Achievers Christian Academy,School,PrivSchool,3451 W 175th St,,,FULL GOSPEL CHRTN ASMM,Hazel Crest
1156789.902,1784164.5675,49,Chateaux Elementary School,School,PubElem,3600 Chambord Ln,426741,Chateaux Park is part of the school,SCHOOL DIST #144      ,Hazel Crest
1173326.903,1782561.5475,50,Millennium School,School,PubSchool,18220 Morgan Ave,,,SCHOOL DIST #153      ,Homewood
1173326.903,1782561.5475,51,James Hart School,School,PubSchool,18220 Morgan Ave,409875,,SCHOOL DIST #153      ,Homewood
1180760.3285,1786804.90225,53,Wolcott School,School,PubSchool,200 N Wolcott St,423735,,SCHOOL DIST #154      ,Thornton
1156047.2335,1769410.189,54,Rich Central High School,School,PubHigh,3600 W 203rd St,426650,,TR OF SCH DIST #227   ,Olympia Fields
1157350.73625,1766576.96,55,Arcadia Elementary School,School,PubElem,20519 Arcadian Dr,403590,,SCHOOL DIST #162      ,Olympia Fields
1155907.457,1768073.097,56,Tolentine College,School,HigherEd,20300 Governors Hwy,419761,,PROVINCE MOTHER GOOD,Olympia Fields
1159015.8215,1755877.243,58,Forest Trail Middle School,School,PubElem,215 Wilson St,1719175,,SCHOOL DIST #163      ,Park Forest
1163039.16675,1753689.798,59,Saint Irenaeus School,School,PrivSchool,78 Cherry St,417321,,CATHOLIC BISHOP CHGO  ,Park Forest
1162544.9605,1752965.678,60,21st Century Primafry Center,School,PubSchool,240 S Orchard Dr,418031,Location was previously Sauk Trail School.  No further information pertaining to whereabouts of Sauk Trail School.,SCHOOL DIST #163      ,Park Forest
1158692.499,1753122.67825,61,Mohawk Elementary School,School,PubElem,301 Mohawk St,413705,,SCHOOL DIST #163      ,Park Forest
1158692.499,1753122.67825,62,Mohawk Intermediate School,School,PubSchool,301 Mohawk St,,,SCHOOL DIST #163      ,Park Forest
1158287.01475,1750750.22125,63,Childs World Montessori Center,School,PrivSchool,266 Somonauk St,,,GRACE UNITED PROT CH  ,Park Forest
1159853.957,1761532.60175,64,Indiana Elementary School,School,PubElem,165 Indiana St,410885,,SCHOOL DIST #162      ,Park Forest
1161632.79725,1750685.80775,65,Blackhawk Elementary School,School,PubElem,130 Blackhawk Dr,404521,,SCHOOL DIST #163      ,Park Forest
1161632.79725,1750685.80775,66,Blackhawk Intermediate Center,School,PubSchool,130 Blackhawk Dr,,,SCHOOL DIST #163      ,Park Forest
1161596.485,1750961.96425,67,Park Forest Academy,School,PrivSchool,375 Oswego St,,,O L L EDUCATION SV    ,Park Forest
1147538.82,1753095.82925,68,Neil Armstrong Elementary School,School,PubElem,5030 Imperial Dr,422306,,SCHOOL DIST #161      ,Richton Park
1155315.08825,1752437.7265,69,Richton Square Elementary School,School,PubElem,22700 Richton Square Rd,,,ILL ASSN 7TH DAY ADVNT,Richton Park
1150110.28625,1754960.124,71,Southland College Preparatory Charter School Incorporated,School,PrivHigh,4601 Sauk Trl,,,,Richton Park
1153033.76225,1755091.105,72,Marion H Blakely Christian Academy,School,PrivSchool,4143 Sauk Trl,,Multiple addresses exist for this parcel. ,,Richton Park
1200792.19875,1813010.083,73,Burnham Elementary School,School,PubElem,13945 Greenbay Ave,1825934,,SCHOOL DIST #154 1/2  ,Burnham
1175875.212,1795638.2775,74,Taft School,School,PubSchool,16225 Union Ave,426784,,SCHOOL DIST #151      ,Harvey
1182888.03925,1802772.80975,75,Chicago Metropolitan Educational Center For Community Advancement,School,PrivSchool,15455 South Park Ave,,,,South Holland
1167413.68975,1800899.49425,77,Youthwatch Ed Services,School,PrivSchool,15416 Lincoln Ave,,,,Harvey
1182891.457,1802370.18925,80,Paragon Monument One Private Christian School,School,PrivSchool,15525 South Park Ave,,,,South Holland
1155627.4745,1778773.4555,82,Flossmoor Hills Elementary School,School,PubElem,3721 Beech St,426729,,SCHOOL DIST #161      ,Flossmoor
1162425.4835,1776789.234,83,Martsci Montessori School,School,PrivSchool,1038 Leavitt Ave,,,MARTSCI SCHOOL        ,Flossmoor
1172815.3255,1773075.3745,84,Normandy Villa School,School,PubSchool,41 E Elmwood Dr,426763,,,Chicago Heights
1132426.62825,1829637.812,85,Worth Junior High School,School,PubElem,11151 New England Ave,1837287,,SCHOOL DISTRICT #127  ,Worth
1135998.956,1851779.0325,86,Harry E Fry Elementary School,School,PubElem,7805 S Mobile Ave,408783,,BD OF ED DIST #111    ,Burbank
1140231.93925,1853141.12275,87,Jacqueline B Kennedy Elementary School,School,PubElem,7650 S Central Ave,1830830,,BD OF ED DIST #111    ,Burbank
1140940.77325,1853749.51875,88,Saint Lawrence High School,School,PrivHigh,5500 W 77th St,417501,,ST LAURENCE H S       ,Burbank
1141383.3015,1853406.1475,89,Queen of Peace High School,School,PrivHigh,7659 S Linder Ave,416306,,QUEEN OF PEACE HS CORP,Burbank
1143605.6865,1852598.761,90,Owen Elementary Scholastic Academy,School,PubElem,7745 S Leamington Ave,415276,,BURBANK CITY OF       ,Burbank
1144868.854,1849278.18,91,Richard E Byrd Elementary School,School,PubElem,8259 S Lavergne Ave,405317,,BD OF ED DIST #111    ,Burbank
1141484.9035,1849397.4865,92,Luther Burbank Elementary School,School,PubElem,8300 S Linder Ave,405207,,BD OF ED DIST #111    ,Burbank
1130946.83575,1848952.457,93,Rosa G. Maddock Elementary School,School,PubElem,8258 S Sayre Ave,412822,,BD OF ED DIST #111    ,Burbank
1133708.911,1847928.9985,94,Frances B McCord Elementary School,School,PubElem,8450 S Nashville Ave,2037530,,BD OF ED DIST #111    ,Burbank
1135553.13925,1847079.2475,95,Edward J Tobin Elementary School,School,PubElem,8501 S Narragansett Ave,419752,,BOARD OF ED DST #111  ,Burbank
1137931.3665,1853399.3895,96,A E R O Educational Center,School,PrivSchool,7600 S Mason Ave,1825668,,TRST SCH 38N R13 AERO ,Burbank
1166601.6885,1806698.9995,97,Martin Luther King Elementary School,School,PubElem,14545 Seeley Ave,426924,,SCHOOL DIST #147      ,Dixmoor
1162208.1845,1804640.18125,98,Ziebell Elementary School,School,PubElem,14825 Rockwell Ave,421618,,SCHOOL DIST #143 1/2  ,Posen
1086407.93,1827258.75125,99,Mount Assisi Academy,School,PrivSchool,13900 Main St,413927,High School,SISTERS OF ST FRANCIS ,Lemont Twp
1085015.52575,1826422.52775,100,Saint Marys Seminary,School,PrivSchool,14246 Main St,417625,,COMMISSARY HOLY CROSS ,Lemont Twp
1071734.38675,1816588.92425,101,Old Quarry Middle School,School,PubElem,16190 127th St,,,SCHOOL DIST #113,Lemont
1093196.3965,1825532.327,103,Everest Academy of Lemont,School,PrivSchool,11550 Bell Rd,,,,Lemont Twp
1079804.4715,1818884.954,104,Lithuanian Maironis Community School Of Lemont,School,PrivSchool,14911 127th St,,,,Lemont
1079804.4715,1818884.954,105,Reformation Christian School,School,PrivSchool,14911 127th St,,,,Lemont
1081935.34275,1817993.6325,106,Saint Vincent Depaul High School Seminary,School,PrivHigh,1236 Notre Dame Dr,426622,,,Lemont
1123690.67875,1785035.09,107,Millennium Elementary School,School,PubElem,17700 84th Ave,2026609,,SCHOOL DIST #140      ,Tinley Park
1120359.84875,1788284.147,108,Christa McAuliffe Elementary School,School,PubElem,8944 174th St,1737213,,SCHOOL DIST #140      ,Tinley Park
1140821.42575,1841983.43825,109,Saint Gerald School,School,PrivSchool,9320 S 55th Ct,417305,,CATHOLIC BISHOP CHGO  ,Oak Lawn
1148289.7915,1841934.22025,110,Evangelical School of Nursing,School,PrivSchool,9340 S Kostner Ave,1826316,,EVANGELICAL HOSP CORP ,Oak Lawn
1143112.1385,1843312.46075,111,Covington School,School,PubSchool,9130 S 52nd Ave,406677,,SCHOOL DIST #123      ,Oak Lawn
1142917.02275,1840665.32625,112,Cook Avenue School,School,PrivSchool,9530 S Cook Ave,406493,,,Oak Lawn
1138564.56475,1839295.2825,113,Columbus Manor School,School,PubSchool,9700 S Mayfield Ave,406417,,SCHOOL DIST 122       ,Oak Lawn
1144733.1215,1838764.14725,114,Sward Elementary School,School,PubElem,9830 S Brandt Ave,419469,,SCHOOL DIST #123      ,Oak Lawn
1144385.58375,1835128.11075,115,Saint Linus School,School,PrivSchool,10426 S Lawler Ave,417512,,CATHOLIC BISHOP CHGO  ,Oak Lawn
1144402.768,1830626.61325,116,Park Lawn Vocational Services,School,PrivSchool,5040 W 111th St,,Feature name was found on google streetview,PARK LAWN ASSOC       ,Oak Lawn
1148045.95,1834925.67925,117,Kolmar Avenue Elementary School,School,PubElem,10427 S Kolmar Ave,,,SCHOOL DIST #123      ,Oak Lawn
1150747.49825,1833662.09725,118,Saint Catherine of Alexandria School,School,PrivSchool,4100 W 107th St,426656,,CATHOLIC BISHOP CHGO  ,Oak Lawn
1149668.6815,1842245.67025,119,Pride School,School,PubSchool,4201 W 93rd Pl,,,OAK LAWN SD 123,Oak Lawn
1148399.73275,1845049.781,120,Hometown Elementary School,School,PubElem,8870 S Duffy Ave,410464,,SCHOOL DIST #123      ,Hometown
1133304.6135,1789946.7645,121,Zion Lutheran Early Childhood Center School,School,PrivSchool,17100 69th Ave,,,ZION LUTH CH          ,Tinley Park
1134553.59625,1819678.45425,122,Landmark Christian Academy,School,PrivSchool,6600 W 127th St,,Location is where facility moved to.  Facility was at 16250 84th Ave.  School rents building from church.,TINLEY PK CHRISTIAN CH,Palos Heights
1139166.05775,1787016.452,123,Tinley Park High School,School,PubHigh,6111 175th St,1737290,,SCHOOL DIST #228      ,Tinley Park
1124146.2335,1809454.8045,124,Prairie Elementary School,School,PubElem,14110 82nd Ave,1737253,,SCHOOL DIST #135      ,Orland Park
1120551.46875,1802465.9955,125,Jerling Junior High School,School,PubElem,8850 151st St,1737195,,SCHOOL DIST #135      ,Orland Park
1120595.7395,1802171.72475,126,Liberty Elementary School,School,PubElem,8850 151st St,1737206,,SCHOOL DIST #135      ,Orland Park
1128526.3335,1801158.4335,127,Arnold W Kruse Education Center,School,PubSchool,7617 Hemlock Dr,1737202,,SCHOOL DIST #146      ,Orland Park
1135963.39,1800611.42625,128,Walter F Fierke Education Center,School,PubSchool,6535 Victoria Dr,1737159,,SCHOOL DIST #146      ,Oak Forest
1139837.905,1834071.251,131,Ridge Lawn Elementary School,School,PubElem,10501 S Menard Ave,1737261,,SCHOOL DIST #127 1/2  ,Chicago Ridge
1137524.90175,1832048.63275,133,Ridge Central Elementary School,School,PubElem,10835 S Lombard Ave,1737260,,SCHOOL DIST #127 1/2  ,Chicago Ridge
1137107.0005,1831992.9125,134,Elden D Finley Junior High School,School,PubElem,10835 S Lombard Ave,,,SCHOOL DIST #127 1/2  ,Chicago Ridge
1124861.463,1828952.09275,135,Amos Alonzo Stagg High School,School,PubHigh,8001 W 111th St,419024,,SCHOOL DIST #230      ,Palos Hills
1124302.3425,1815895.72475,137,Palos South Middle School,School,PubElem,13100 131st St,1737244,,SCHOOL DISTRICT 118   ,Palos Twp
1140421.106,1804297.14225,138,Jack Hille Middle School,School,PubElem,5800 151st St,1737193,,SCHOOL DIST #142      ,Oak Forest
1157426.13825,1799416.13375,139,Link And Option Center Incorporated,School,PubSchool,15600 Homan Ave,413195,,CITY OF MARKHAM       ,Markham
1138941.61475,1804156.72575,140,Braun Educational Center,School,PubSchool,6020 151st St,,,SCHOOL DIST #142      ,Oak Forest
1153396.8375,1802756.96425,141,Bremen High School,School,PubHigh,15233 S Pulaski Rd,404812,,SCHOOL DIST #228      ,Midlothian
1160262.21925,1794558.42375,142,Prairie Hills School,School,PubSchool,3015 W 163rd St,405557,,SCHOOL DIST #144,Markham
1155879.793,1795413.88625,143,Markham Park Elementary School,School,PubElem,16239 S Lawndale Ave,413016,,SCHOOL DIST #144      ,Markham
1151542.71,1807049.51275,144,Saint Christopher School,School,PrivSchool,14611 Keeler Ave,417237,,CATHOLIC BISHOP CHGO  ,Midlothian
1142678.04075,1803119.707,146,Oak Forest High School,School,PubHigh,15201 Central Ave,1737236,,SCHOOL DIST #228,Oak Forest
1144416.34775,1804816.85775,147,Kerkstra Elementary School,School,PubElem,14950 Laramie Ave,411830,,SCHOOL DIST #142      ,Oak Forest
1146700.4755,1791530.6465,149,Morton-Gingerwood Elementary School,School,PubElem,16866 Forest Ave,426790,,SCHOOL DIST #145      ,Oak Forest
1143901.162,1801379.90375,150,Saint Damian Elementary School,School,PrivElem,5220 155th St,426657,,CATHOLIC BISHOP CHGO  ,Oak Forest
1153666.743,1843723.3245,152,Northwest School,School,PubSchool,3630 W 92nd St,426826,,TRST OF SCHL DIST #124,Evergreen Park
1158828.62775,1842488.50425,153,Saint Bernadette School,School,PrivSchool,9311 S Francisco Ave,417198,,CATHOLIC BISHOP CHGO  ,Evergreen Park
1153891.00525,1838379.3565,154,Southwest Elementary School,School,PubElem,9900 S Central Park Ave,418861,,TRST OF SCHL DIST #124,Evergreen Park
1157410.83675,1838452.982,155,Evergreen Park High School,School,PubHigh,9901 S Kedzie Ave,,,TRSTS OF SCHL DIST 231,Evergreen Park
1145028.723,1826160.36725,156,Hazel Green Elementary School,School,PubElem,11751 Lawler Ave,1829671,,SCHOOL DIST #126      ,Alsip
1156477.45425,1820746.48025,157,George Washington Elementary School,School,PubElem,12545 Homan Ave,,,SCHOOL DIST #130      ,Alsip
1153118.2625,1814431.68275,158,Delia M Turner Elementary School,School,PubElem,3847 135th St,419955,,SCHOOL DIST #143 1/2  ,Crestwood
1156342.8215,1810792.002,159,Bernice Childs Elementary School,School,PubElem,14123 Lydia Ave,,,SCHOOL DIST #143 1/2  ,Robbins
1156422.01675,1810559.2205,160,Thomas Kellar Middle School,School,PubElem,14123 Lydia Ave,411356,,SCHOOL DIST #143 1/2  ,Robbins
1152667.28025,1813084.45375,161,Delta Learning Center,School,PubSchool,3940 Midlothian Tpke,,,SCHOOL DIST #218      ,Crestwood
1158169.327,1826021.7695,162,Meadow Lane School,School,PubSchool,11800 Meadow Lane Dr,426884,,SCHOOL DIST #125      ,Merrionette Park
1158543.0015,1815621.85275,163,Horace Mann School,School,PubSchool,2975 Claire Blvd,412896,,SCHOOL DIST #130      ,Robbins
1138966.6085,1821166.12775,164,Chippewa Elementary School,School,PubElem,12425 Austin Ave,1737144,,SCHOOL DIST 128       ,Worth Twp
1176506.1985,1812852.428,167,Washington Elementary School,School,PubElem,13900 School St,420613,,SCHOOL DIST #148      ,Riverdale
1176506.1985,1812852.428,168,Washington Junior High,School,PubElem,13900 School St,,,SCHOOL DIST #148      ,Riverdale
1177202.44025,1809349.6115,169,Queen of Apostles School,School,PrivSchool,14424 Wentworth Ave,416303,,CATHOLIC BISHOP CHGO  ,Riverdale
1160496.77775,1822059.63425,171,Greenwood School,School,PubSchool,12418 Highland Ave,426881,,SCHOOL DIST #130      ,Blue Island
1164317.53925,1812735.793,172,Alternative Academic Achievement Academy,School,PrivSchool,13801 Chatham St,,,PUERTO RICAN CULT CTR ,Blue Island
1163413.82725,1822697.81825,173,Paul Revere Primary School,School,PubSchool,12331 Gregory St,416562,,SCHOOL DIST #130      ,Blue Island
1163280.0525,1822695.002,174,Paul Revere Intermediate School,School,PubSchool,12331 Gregory St,,,SCHOOL DIST #130      ,Blue Island
1161585.54875,1818794.85875,175,Everett F Kerr Middle School,School,PubElem,12905 Maple Ave,1737198,,SCHOOL DIST #130      ,Blue Island
1160245.40475,1818181.72375,176,Forum High School,School,PrivHigh,2755 York St,,,FORUM HIGH SCHOOL     ,Blue Island
1161619.2965,1817841.16425,177,Whittier School,School,PubSchool,13045 Maple Ave,421119,,SCHOOL DIST #130      ,Blue Island
1120164.8235,1824497.2915,178,Southwest Suburban Montessori School,School,PubSchool,8800 119th St,415334,,,Palos Twp
1125284.772,1835858.726,179,Bobbie Noonans School,School,PrivSchool,10155 S Roberts Rd,,,,Palos Hills
1075558.63975,1816396.1655,180,Mary Sears Childrens Academy,School,PrivSchool,15533 129th St,,,,Lemont Twp
1159472.58825,1807070.028,182,Safe Care Academy Incorporated School,School,PrivSchool,2928 147th St,,,,Posen
1104036.6985,1889987.932,183,Westchester Intermediate School,School,PubSchool,10900 Canterbury St,,,SCHOOL DIST #92 1/2   ,Westchester
1104075.56675,1889153.78025,184,Saint Joseph High School,School,PrivHigh,1840 Mayfair Ave,417451,,ST JOSEPH HIGH SCHOOL ,Westchester
1104479.53075,1885326.6465,185,Divine Providence School,School,PrivSchool,2502 Mayfair Ave,407243,,CATHOLIC BISHOP CHGO  ,Westchester
1106143.508,1877862.0285,186,Nazareth Academy,School,PrivSchool,1209 W Ogden Ave,414320,,SISTERS OF ST. JOSEPH ,La Grange Park
1102798.9095,1913306.04875,187,Roy Elementary School,School,PubElem,533 N Roy Ave,417014,,SCHOOL DIST #83       ,Northlake
1100177.28575,1916733.43475,188,Westdale Elementary School,School,PubElem,129 Diversey Ave,420951,,SCHOOL DIST #83       ,Northlake
1099923.85175,1910435.10375,189,Parkview Baptist Academy,School,PrivSchool,70 W Golfview Dr,404170,,PARKVIEW BAPTIST CH   ,Northlake
1124598.66975,1916447.19525,190,Early Childhood Center,School,PubSchool,1 Conti Pkwy,,,VILLAGE OF ELMWOOD PK ,Elmwood Park
1124977.16525,1911410.37975,191,Elm Middle School,School,PubElem,7607 Cortland St,407941,,SCHOOL DISTRICT #401  ,Elmwood Park
1121133.549,1914464.6075,192,Elmwood Park High School,School,PubHigh,8201 Fullerton Ave,407961,,SCHOOL DISTRICT #401  ,River Grove
1131771.23575,1892268.878,193,Saint Mary of Celle School,School,PrivSchool,1428 Wesley Ave,417543,Additional GNIS code of 1833364.,CATHOLIC BISHOP CHGO  ,Berwyn
1131771.23575,1892268.878,194,The Childrens School,School,PrivSchool,1428 Wesley Ave,,,CATHOLIC BISHOP CHGO  ,Berwyn
1132940.70825,1886133.89875,195,Hiawatha Elementary School,School,PubElem,6539 26th St,410133,,SCHOOL DIST #100      ,Berwyn
1129292.35475,1886770.14125,196,J Sterling Morton West High School,School,PubHigh,2400 Home Ave,413872,,SCHOOL DIST #201      ,Berwyn
1133988.3305,1883675.452,197,Freedom Middle School,School,PubElem,3016 Ridgeland Ave,,,SCHOOL DIST #100      ,Berwyn
1130778.903,1880436.00925,198,Irving Elementary School,School,PubElem,3501 Clinton Ave,410935,,SCHOOL DIST #100      ,Berwyn
1135918.88375,1887230.57925,199,Our Lady of the Mount School,School,PrivSchool,2414 S 61st Ave,415257,,CATHOLIC BISHOP CHGO  ,Cicero
1137259.2965,1887087.1245,201,J Sterling Morton East High School,School,PubHigh,2423 S Austin Blvd,1831203,,SCHOOL DIST #201      ,Cicero
1138464.87725,1879796.17075,202,Our Lady of Charity School,School,PrivSchool,3600 57th Ct,1832569,,CATHOLIC BISHOP CHGO  ,Cicero
1136443.4055,1880408.15875,203,Abe Lincoln Elementary School,School,PubElem,3501 S 61st Ave,412187,,SCHOOL DISTRICT #99   ,Cicero
1132062.279,1891375.879,204,Berwyn North School District 98,School,PubSchool,6633 16th St,,,SCHOOL DIST # 98      ,Berwyn
1134319.61475,1894099.97125,205,Morningside Montessori Academy,School,PrivSchool,6320 W Roosevelt Rd,,,MORNSIDE CHLDN'S ACAD ,Oak Park
1136965.08725,1882450.66325,206,DCN Christian Academy,School,PrivSchool,3201 S Austin Blvd,,,,Cicero
1133758.96,1881231.75325,207,Lavergne Education Center,School,PubSchool,3401 Gunderson Ave,411654,,SCHOOL DIST #100      ,Berwyn
1112406.5855,1882749.89675,208,The Childrens House Montessori School,School,PrivSchool,1017 E 31st St,,,,La Grange Park
1102265.877,1886491.06675,209,Immanuel Lutheran School,School,PrivSchool,2230 S Westwood Dr,410801,,IMMANUEL LUTH CH HLSDE,Hillside
1108837.1155,1894681.8365,210,MacNeal School,School,PrivSchool,801 Hull Ave,404879,Special Education,SCHOOL DIST #92 1/2   ,Westchester
1111979.942,1920869.2085,211,North Elementary School,School,PubElem,3302 Edgington St,414664,,SCHOOL DIST #84       ,Franklin Park
1111106.86925,1921884.86575,212,East Leyden High School,School,PubHigh,3410 Rose St,407665,,SCHOOL DIST #212      ,Franklin Park
1109769.66475,1918402.602,213,Maple Park Academy,School,PrivSchool,9857 Schiller Blvd,,,1ST UNITED METH CHURCH,Franklin Park
1115158.05925,1918264.785,214,East School,School,PubSchool,2915 Maple St,407697,,SCHOOL DIST #84       ,Franklin Park
1108362.70725,1924700.202,215,John F Kennedy Elementary School,School,PubElem,3945 Wehrman Ave,2030160,,SCHOOL DIST # 81      ,Schiller Park
1108358.00475,1924010.589,216,Saint Maria Goretti Catholic School,School,PrivSchool,3802 Scott St,417523,,CATHOLIC BISHOP CHGO  ,Schiller Park
1127648.33075,1892988.9795,217,Betsy Ross Elementary School,School,PubElem,1301 Marengo Ave,,,SCHOOL DIST #91       ,Forest Park
1129635.63375,1899305.975,218,Oak Park Elementary School,School,PubElem,970 Madison St,,,SCHOOL DIST # 97      ,Oak Park
1132415.0665,1895375.47025,219,West Suburban Montessori School ,School,PrivSchool,1039 S East Ave,1837190,,WEST SUB MONTESSORI SC,Oak Park
1134013.3265,1908377.0795,220,William Hatch Elementary School,School,PubElem,1000 N Ridgeland Ave,409921,,SCHOOL DIST # 97      ,Oak Park
1131129.093,1901053.03525,221,Saint Edmund School,School,PrivSchool,200 S Oak Park Ave,417260,,CATHOLIC BISHOP CHGO  ,Oak Park
1130117.2255,1900164.4905,222,Gwendolyn Brooks Middle School,School,PubElem,333 S Kenilworth Ave,407996,,SCHOOL DIST # 97      ,Oak Park
1128924.2785,1906047.38575,223,PACTT Learning Center-Oak Park,School,PrivSchool,714 Belleforte Ave,,Special Education,PACTT LEARNING CENTER ,Oak Park
1133608.245,1900049.75675,224,Our Lady Immaculate Academy,School,PrivSchool,410 W Washington Blvd,,,SOCIETY ST PIUS X     ,Oak Park
1131061.33575,1903903.29625,225,Alcuin Montessori School,School,PrivSchool,324 N Oak Park Ave,,,1ST UN METH CH OAK PK ,Oak Park
