X,Y,OBJECTID,CFNAME,CFTYPE,CFSUBTYPE,ADDRESS,GNISCODE,COMMENT,Jurisdiction,Community
1181222.53075,1858397.8545,808,Park Manor Elementary School,School,PubElem,7001 S Rhodes Ave,415385,,CHICAGO BD EDUCATION  ,Chicago
1179612.934,1853027.021,809,Ruggles Elementary School,School,PubElem,7827 S Prairie Ave,417036,,CHICAGO BD EDUCATION  ,Chicago
1165519.30125,1851194.72425,810,Marva A Collins Preparatory School,School,PrivSchool,8035 S Honore St,,,FRIENDS MARVA COLLINS ,Chicago
1186773.56825,1851891.2095,811,Avalon Park Elementary School,School,PubElem,8015 S Kenwood Ave,403756,,CHICAGO BD EDUCATION  ,Chicago
1183740.71975,1853814.1725,812,Hirsch Metropolitan High School,School,PubHigh,7740 S Ingleside Ave,410317,,CHICAGO BD EDUCATION  ,Chicago
1170601.68275,1855474.25525,813,Stagg Elementary School,School,PubElem,7411 S Aberdeen St,1836798,Additional GNIS code of 418383.,CHICAGO BD EDUCATION  ,Chicago
1191095.23625,1851997.01475,814,Mann Elementary School,School,PubElem,8050 S Chappel Ave,412897,,CHICAGO BD EDUCATION  ,Chicago
1165777.82375,1858573.6945,815,Betty Shabazz International Charter -Barbara A Sizemore,School,PubSchool,6936 S Hermitage Ave,416398,,CHICAGO BD EDUCATION  ,Chicago
1180753.8715,1853570.75775,816,Saint Dorothy School,School,PrivSchool,7742 S Eberhart Ave,417259,,CATHOLIC BISHOP CHGO  ,Chicago
1178458.2775,1860243.66925,817,Brownell Elementary School,School,PubElem,6741 S Michigan Ave,404966,,CHICAGO BD EDUCATION  ,Chicago
1176860.181,1850946.4995,818,Lenart Elementary Regional Gifted Center,School,PubElem,8101 S La Salle St,,,CHICAGO BOARD OF ED   ,Chicago
1180144.76525,1852200.8315,819,Rescue Missionary Christian School,School,PrivSchool,7956 S Doctor Martin Luther King Jr Dr,1832831,,ENG DIST OF THE LUTHCH,Chicago
1193594.93875,1855605.4075,820,Christ Light World Academy,School,PrivSchool,2403 E 75th St,,,,Chicago
1186226.23425,1855622.42175,821,Stepping Stone Early Childhood,School,PrivSchool,1300 E 75th St,1801859,,,Chicago
1178307.34625,1855883.06675,822,Reach Christian Academy,School,PrivSchool,7400 S Michigan Ave,,,NEW HOPE COMM BAPT CH ,Chicago
1183575.97925,1857551.04425,823,Noble Charter - Comer,School,PubSchool,7200 S Ingleside Ave,,School was combined with Revere School according to the school closing news release.,COMER SCIENCE & ED,Chicago
1199408.10375,1846242.62725,825,J N Thorp Elementary School,School,PubElem,8901 S Burley Ave,419694,,CHICAGO BD EDUCATION  ,Chicago
1199408.10375,1846242.62725,826,Learn Charter School  - South Chicago,School,PrivSchool,8901 S Burley Ave,,,CHICAGO BD EDUCATION  ,Chicago
1195630.204,1847042.5355,827,Mckinley Highland School,School,PrivSchool,2647 E 88th St,,,SAMARITAS INC         ,Chicago
1190539.9155,1847580.232,828,Carc/Mary Alyce Remedial Center,School,PrivSchool,8701 S Bennett Ave,419095,,FND DEVELOP OF RETARD ,Chicago
1182128.9265,1849024.271,829,Pirie Elementary School,School,PubElem,646 E 85th St,415737,,CHICAGO BD EDUCATION  ,Chicago
1179777.04875,1848985.754,830,Milburn Alternative School,School,PubSchool,8430 S Calumet Ave,1833172,,CATHOLIC BISHOP CHGO  ,Chicago
1193805.90125,1849417.371,831,Coles Elem Language Academy,School,PubSchool,8441 S Yates Blvd,406360,,CHICAGO BD EDUCATION  ,Chicago
1189383.66025,1848467.53975,832,Caldwell Elementary School,School,PubElem,8546 S Cregier Ave,405348,,CHICAGO BD EDUCATION  ,Chicago
1182161.988,1844613.69975,833,Burnside Elementary Scholastic Academy,School,PubElem,650 E 91St Pl,405253,,CHICAGO BD EDUCATION  ,Chicago
1188199.4525,1845162.43675,835,Saint Ailbe School,School,PrivSchool,9041 S Harper Ave,417124,,CATHOLIC BISHOP CHGO  ,Chicago
1185311.39425,1844536.8275,836,Washington Harold Elementary School,School,PubElem,9128 S University Ave,415563,,CHICAGO BD EDUCATION  ,Chicago
1185425.471,1840569.05525,837,Schmid Elementary School,School,PubElem,9743 S Greenwood Ave,418091,,CHICAGO BD EDUCATION  ,Chicago
1179489.7565,1846601.89625,838,Mcdade Classical School,School,PubSchool,8801 S Indiana Ave,413243,,CHICAGO BD EDUCATION  ,Chicago
1193309.543,1839450.027,839,Burnham Elementary School,School,PubElem,9928 S Crandon Ave,412740,"School was previously Lawrence Elementary School, but according to the public school closing news release it was taken over by Burnham Elementary.",CHICAGO BD EDUCATION  ,Chicago
1193299.21925,1839947.357,840,Banner Academy South High School,School,PrivHigh,2311 E 98th St,415255,,CATHOLIC BISHOP CHGO  ,Chicago
1193678.325,1837477.3605,841,Burnham Goldsmith School ,School,PubSchool,10211 S Crandon Ave,409127,,CHICAGO CITY OF       ,Chicago
1175895.7465,1833401.59925,843,Nkrumah Academy Elementary School,School,PubElem,314 W 108th St,,School was combined with Gresham Elementary School according to the school closing news release.,TRINITY UNITED CHURCH ,Chicago
1184467.1775,1849854.658,844,"South Central Community Services,  Inc.",School,PrivSchool,1021 E 83rd St,,,SO CENTRAL COMMHLTHSER,Chicago
1183913.77925,1850240.853,845,Greater Pleasant Valley College Preparatory,School,PrivHigh,910 E 83rd St,,,GRTR PLEASANT VALLEY  ,Chicago
1200087.389,1850246.73925,846,Sullivan Elementary School,School,PubElem,8331 S Mackinaw Ave,,,CHICAGO BOARD OF ED   ,Chicago
1164321.80875,1928948.73075,847,Ravenswood Elementary School,School,PubElem,4326 N Paulina St,416414,,CHICAGO BD EDUCATION  ,Chicago
1164321.80875,1928948.73075,848,Kennedy High School,School,PubHigh,4326 N Paulina St,416414,,CHICAGO BD EDUCATION  ,Chicago
1164335.23175,1928484.51375,849,Chicago Montessori School,School,PrivSchool,4242 N Paulina St,,,BETHANY UN CH CHRIST  ,Chicago
1170036.05575,1928290.88175,850,Global Citizenship Experience School Year Learning Institute,School,PrivSchool,800 W Buena Ave,1826127,,THE DAY SCHOOL        ,Chicago
1170285.25625,1929245.90375,851,Teach 21 School,School,PrivSchool,4343 N Clarendon Ave,,,,Chicago
1163757.3485,1927355.88875,852,Thresholds School,School,PrivSchool,4101 N Ravenswood Ave,,Special Education,THE THRESHOLDS        ,Chicago
1161593.8605,1928091.12475,853,Thresholds School,School,PrivSchool,4221 N Lincoln Ave,,,THE THRESHOLDS        ,Chicago
1163655.294,1861205.52,854,O'Toole Elementary School,School,PubElem,6521 S Hoyne Ave,414752,,CHICAGO BD EDUCATION  ,Chicago
1163655.294,1861205.52,855,Montessori of Englewood Elementary Charter,School,PubElem,6521 S Hoyne Ave,,School was combined with O'Toole Elementary School according to the school closing news release.,CHICAGO BD EDUCATION  ,Chicago
1178864.17275,1848344.9255,856,Neil Elementary School,School,PubElem,8555 S Michigan Ave,414344,,CHICAGO BD EDUCATION  ,Chicago
1167918.156,1850696.3595,857,Cook Elementary School,School,PubElem,8150 S Bishop St,406505,,CHICAGO BD EDUCATION  ,Chicago
1170401.33375,1850764.44225,858,Perspectives Charter - Calumet Technology High School,School,PubHigh,8137 S May St,405374,,CHICAGO BD EDUCATION  ,Chicago
1171969.25225,1848148.263,859,Gresham Elementary School,School,PubElem,8510 S Green St,409491,,CHICAGO BD EDUCATION  ,Chicago
1164847.996,1853937.83775,860,Barton Elementary School,School,PubElem,7650 S Wolcott Ave,403949,,CHICAGO BD EDUCATION  ,Chicago
1179489.5845,1839710.22575,861,John G Shedd Elementary School,School,PubElem,200 E 99th St,418326,Closed,CHICAGO BD EDUCATION  ,Chicago
1164571.349,1849285.24075,862,Emmanuel Christian School,School,PrivSchool,8301 S Damen Ave,,,EMMANUEL BAPT CH      ,Chicago
1179034.43,1827310.16,863,Rehoboth Educational Academy,School,PrivSchool,11705 S Michigan Ave,,,CLEAR ROCK MBC        ,Chicago
1180655.03925,1884399.006,864,Pershing East Elementary Humanities Magnet School,School,PubElem,3113 S Rhodes Ave,1832653,,CHICAGO BD EDUCATION  ,Chicago
1180733.05025,1817393.613,865,Dubois Elementary School,School,PubElem,310 E 133rd St,418062,,CHICAGO BD EDUCATION  ,Chicago
1125010.171,1927543.39075,867,J Giles Elementary School,School,PubElem,4251 N Oriole Ave,409012,,SCHOOL DIST #80       ,Norridge
1124201.79,1925792.37175,868,JFH Educational Academy Inc,School,PrivSchool,7642 W Irving Park Rd,1830831,,,Norridge
1123690.25825,1928657.272,869,Academy of Saint Priscilla at Divine Savior,School,PrivSchool,7750 W Montrose Ave,,,CATHOLIC BISHOP CHGO  ,Norridge
1120807.9315,1930469.068,870,John V. Leigh Elementary School,School,PubElem,8151 W Lawrence Ave,411934,,SCHOOL DIST #80       ,Norridge
1016168.8555,1940177.76275,871,Liberty Elementary School,School,PubElem,121 Naperville Rd,,,SCHOOL DIST U- 46,Bartlett
1037476.444,1991609.80675,872,Creative Learning Montessori School,School,PrivSchool,1410 S Barrington Rd,,,,Barrington
1121123.836,1880548.81025,873,Riverside - Brookfield Township High School,School,PubHigh,160 RIDGEWOOD RD,2030156,,HIGH SCHOOL DIST 208  ,Riverside
1118397.70725,1874497.9045,874,Lincoln Elementary School,School,PubElem,4300 GROVE AVE,412185,,SCHOOL DIST #103      ,Brookfield
1121901.78525,1872735.99425,875,Costello School,School,PubSchool,4600 CLYDE AVE,406610,,SCHOOL DIST #103      ,Lyons
1124181.46325,1874754.553,876,Saint Hughs School,School,PrivSchool,4315 PRESCOTT AVE,2036016,,CATHOLIC BISHOP CHGO  ,Lyons
1123587.07925,1876592.47825,877,Washington Middle School,School,PubElem,4036 JOLIET AVE,420614,,SCHOOL DIST #103      ,Lyons
1123947.20875,1880850.57625,878,Central Elementary School,School,PubElem,61 WOODSIDE RD,409927,,SCHOOL DIST #96       ,Riverside
1127867.05875,1851575.8015,879,Bridgeview Elementary School,School,PubElem,7800 THOMAS AVE,404852,,SCHOOL DIST #109      ,Bridgeview
1129344.633,1842313.8005,880,Universal School,School,PrivSchool,7350 W 93RD ST,,,UNIVERSAL SCHOOL      ,Bridgeview
1107924.08075,1871638.25275,881,Saint John's Lutheran School,School,PrivSchool,505 S PARK RD,1833303,,ST JOHNS LUTH CHURCH  ,La Grange
1123802.9475,1881046.7715,882,L J Hauser Junior High School,School,PubElem,65 WOODSIDE RD,409927,,SCHOOL DIST #96       ,Riverside
1101039.894,1869349.287,883,Forest Hills Elementary School,School,PubElem,5020 CENTRAL AVE,408508,,SCHOOL DIST #101      ,Western Springs
1098561.48825,1873283.5385,884,Hinsdale Adventist Academy,School,PrivSchool,632 RAVINE RD,410315,,ILL ASSN 7TH DAY ADVNT,Hinsdale
1100230.72075,1875407.52925,885,John Laidlaw Elementary School,School,PubElem,4072 FOREST AVE,,,SCHOOL DIST #101      ,Western Springs
1104578.833,1870547.43375,886,Lyons South High School,School,PubHigh,4900 WILLOW SPRINGS RD,1831417,,SCHOOL DIST #204      ,Western Springs
1103810.1315,1874187.603,887,Field Park Elementary School,School,PubElem,4335 HOWARD AVE,408355,,SCHOOL DIST #101      ,Western Springs
1103158.97575,1869325.56375,888,Saint John of the Cross School,School,PrivSchool,708 51ST ST,1833288,,CATHOLIC BISHOP CHGO  ,Western Springs
