RCDTS,Level,School Name,District,City,County,District Type,School Type,Grades Served,Summative Designation,Summative Designation: Student Group(s),Title I Status,State Senate District,State House District,# Student Enrollment,% Student Enrollment -Male,% Student Enrollment - Female,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Two or More Races,% Student Enrollment - Children with Disabilities,% Student Enrollment - IEP,% Student Enrollment - Never EL,% Student Enrollment - Low Income,Latitude,Longitude
65-000-0000-80-0000,Statewide,,,,,,,,,,,,,1848560.0,51.4,48.6,44.3,16.3,28.6,4.5,20.3,16.3,74.6,49.7,36.50473,-6.26961
01-009-2620-26-0000,District,,A-C Central CUSD 262,Ashland,Cass,Unit District,,,,,,,,302.0,48.3,51.7,93.7,,,3.3,11.9,11.9,99.0,40.7,39.887831,-90.006086
01-009-2620-26-2001,School,A-C Central Elementary School,A-C Central CUSD 262,Chandlerville,Cass,Unit District,Elementary School,PK - 4,Commendable,All Students,Title 1 Targeted,50.0,99.0,124.0,46.8,53.2,95.2,,,,12.1,12.1,100.0,41.9,42.0374628,-87.8865596
01-009-2620-26-0002,School,A-C Central High School,A-C Central CUSD 262,Ashland,Cass,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Eligible but Not Served,50.0,99.0,92.0,51.1,48.9,91.3,,,,,,,38.0,39.8952514,-90.0324986
01-009-2620-26-1002,School,A-C Central Middle School,A-C Central CUSD 262,Ashland,Cass,Unit District,Middle/Junior High School,5 - 8,Commendable,All Students,Title 1 Targeted,50.0,99.0,86.0,47.7,52.3,94.2,,,,14.0,14.0,97.7,41.9,39.7128421,-90.4206195
33-048-2760-26-0000,District,,Abingdon-Avon CUSD 276,Abingdon,Knox,Unit District,,,,,,,,901.0,50.7,49.3,85.1,,5.3,8.4,21.3,20.2,100.0,54.8,40.805289,-90.404372
33-048-2760-26-0001,School,Abingdon-Avon High Sch,Abingdon-Avon CUSD 276,Abingdon,Knox,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Eligible but Not Served,47.0,94.0,270.0,50.4,49.6,84.4,,4.8,9.6,18.9,15.2,100.0,50.0,40.7999,-90.4068
33-048-2760-26-1001,School,Abingdon-Avon Middle Sch,Abingdon-Avon CUSD 276,Avon,Knox,Unit District,Middle/Junior High School,6 - 8,Commendable,All Students,Title 1 Schoolwide,47.0,94.0,207.0,56.0,44.0,84.5,,6.8,7.2,22.2,22.2,100.0,50.7,41.791949,-72.86559
33-048-2760-26-2002,School,Avon Elem Sch,Abingdon-Avon CUSD 276,Avon,Knox,Unit District,Elementary School,PK - 1,,,Title 1 Schoolwide,47.0,94.0,51.0,39.2,60.8,86.3,,,,27.5,27.5,100.0,49.0,40.6648,-90.4286
33-048-2760-26-2001,School,Hedding Grade Sch,Abingdon-Avon CUSD 276,Abingdon,Knox,Unit District,Elementary School,PK - 5,Targeted,Children with Disabilities,Title 1 Schoolwide,47.0,94.0,373.0,49.6,50.4,85.8,,5.1,8.0,21.7,21.7,100.0,61.4,40.8057,-90.4029
15-016-9020-25-0000,District,,ACE Amandla Charter School,Chicago,Cook,Unit District,,,,,,,,137.0,56.9,,,50.4,47.4,,27.0,27.0,59.1,94.9,41.883229,-87.632398
15-016-9020-25-201C,School,ACE Amandla Charter School,ACE Amandla Charter School,Chicago,Cook,Unit District,Elementary School,9 - 12,Commendable,All Students,Title 1 Schoolwide,16.0,32.0,137.0,56.9,,,50.4,47.4,,27.0,27.0,59.1,94.9,41.769223,-87.690965
19-022-0040-02-0000,District,,Addison SD 4,Addison,Dupage,Elementary District,,,,,,,,3371.0,51.1,48.9,18.6,2.3,71.9,1.3,22.0,19.2,33.9,71.4,41.9319404,-87.9886761
19-022-0040-02-3002,School,Addison Early Learning Center,Addison Early Learning Center,Addison,Dupage,Elementary District,Special School,PK,,,Title 1 Schoolwide,23.0,45.0,190.0,54.7,45.3,13.7,,75.8,,50.0,50.0,27.9,67.4,41.9148,-87.9806
19-022-0040-02-2011,School,Ardmore Elem School,Addison SD 4,Addison,Dupage,Elementary District,Elementary School,K - 5,Commendable,All Students,Title 1 Schoolwide,23.0,45.0,230.0,51.3,48.7,15.7,,78.3,,20.0,17.0,40.0,78.3,41.914685,-87.980071
19-022-0040-02-2002,School,Army Trail Elem School,Addison SD 4,Addison,Dupage,Elementary District,Elementary School,K - 5,Targeted,"White, Children with Disabilities",Title 1 Schoolwide,39.0,77.0,251.0,52.2,47.8,14.3,5.2,64.5,,19.9,18.7,25.1,78.9,41.932245,-87.997949
19-022-0040-02-2003,School,Fullerton Elem School,Addison SD 4,Addison,Dupage,Elementary District,Elementary School,K - 5,Commendable,All Students,Title 1 Schoolwide,23.0,45.0,373.0,48.0,52.0,19.0,,74.5,,20.1,16.9,38.6,73.2,41.9192,-87.9849
19-022-0040-02-1009,School,Indian Trail Jr High School,Addison SD 4,Addison,Dupage,Elementary District,Middle/Junior High School,6 - 8,Commendable,All Students,Title 1 Schoolwide,39.0,77.0,1114.0,51.3,48.7,19.5,,71.5,,19.2,15.3,33.0,72.1,41.9319404,-87.9886761
19-022-0040-02-2004,School,Lake Park Elem School,Addison SD 4,Addison,Dupage,Elementary District,Elementary School,K - 5,Commendable,All Students,Title 1 Schoolwide,23.0,46.0,288.0,53.1,46.9,3.8,,90.3,,24.0,21.9,19.1,83.7,41.923064,-87.997868
19-022-0040-02-2005,School,Lincoln Elem School,Addison SD 4,Addison,Dupage,Elementary District,Elementary School,K - 5,Commendable,All Students,Title 1 Schoolwide,39.0,77.0,340.0,48.8,51.2,6.8,,89.7,,19.7,17.6,18.8,81.2,41.9402,-87.9961
19-022-0040-02-2010,School,Stone Elem School,Addison SD 4,Addison,Dupage,Elementary District,Elementary School,K - 5,Commendable,All Students,Title 1 Schoolwide,23.0,46.0,362.0,49.4,50.6,40.9,,46.1,2.8,18.5,15.7,55.0,47.2,41.93537,-88.02347
19-022-0040-02-2008,School,Wesley Elem School,Addison SD 4,Addison,Dupage,Elementary District,Elementary School,K - 5,Commendable,All Students,Title 1 Schoolwide,23.0,46.0,223.0,54.3,45.7,26.5,4.5,58.7,,26.5,24.2,47.1,61.9,41.9353886,-88.0155528
34-049-1250-13-0000,District,,Adlai E Stevenson HSD 125,Lincolnshire,Lake,High School District,,,,,,,,4719.0,51.0,,40.8,1.9,8.6,3.6,16.4,7.2,59.9,7.5,42.195891,-87.906248
34-049-1250-13-0001,School,Adlai E Stevenson High School,Adlai E Stevenson HSD 125,Lincolnshire,Lake,High School District,High School,9 - 12,Commendable,All Students,Title 1 Targeted,30.0,59.0,4719.0,51.0,,40.8,1.9,8.6,3.6,16.4,7.2,59.9,7.5,42.199777,-87.944362
21-028-0910-04-0000,District,,Akin CCSD 91,Akin,Franklin,Elementary District,,,,,,,,124.0,57.3,42.7,,,,,35.5,26.6,100.0,54.8,37.986208,-88.748844
21-028-0910-04-2001,School,Akin Comm Cons Elem School,Akin CCSD 91,Akin,Franklin,Elementary District,Elementary School,K - 8,Commendable,All Students,Title 1 Schoolwide,59.0,117.0,124.0,57.3,42.7,,,,,35.5,26.6,100.0,54.8,37.987108,-88.750977
13-014-0630-02-0000,District,,Albers SD 63,Albers,Clinton,Elementary District,,,,,,,,161.0,51.6,48.4,96.3,,,,18.6,13.7,,19.9,38.54326,-89.61693
13-014-0630-02-2001,School,Albers Elem School,Albers SD 63,Albers,Clinton,Elementary District,Elementary School,PK - 8,Commendable,All Students,Not a Participant in Title One Program,55.0,109.0,161.0,51.6,48.4,96.3,,,,18.6,13.7,,19.9,38.54505,-89.61426
44-063-0190-24-0000,District,,Alden Hebron SD 19,Hebron,McHenry,Unit District,,,,,,,,415.0,54.2,45.8,75.7,,,,14.7,14.7,82.7,38.3,18.8937,-99.0094
44-063-0190-24-2001,School,Alden Hebron Elem School,Alden Hebron SD 19,Hebron,McHenry,Unit District,Elementary School,PK - 5,Commendable,All Students,Title 1 Schoolwide,35.0,69.0,208.0,55.8,44.2,82.2,,,,15.9,15.9,88.5,36.5,42.46442,-88.42941
44-063-0190-24-0002,School,Alden-Hebron High School,Alden Hebron SD 19,Hebron,McHenry,Unit District,High School,9 - 12,Exemplary,All Students,Title 1 Schoolwide,35.0,69.0,109.0,56.0,44.0,67.0,,33.0,,14.7,14.7,76.1,44.0,42.46557,-88.43093
44-063-0190-24-1001,School,Alden-Hebron Middle School,Alden Hebron SD 19,Hebron,McHenry,Unit District,Middle/Junior High School,6 - 8,Commendable,All Students,Title 1 Schoolwide,35.0,69.0,98.0,49.0,51.0,71.4,,28.6,,12.2,12.2,77.6,35.7,42.4656,-88.431
35-050-0650-04-0000,District,,Allen-Otter Creek CCSD 65,Ransom,La Salle,Elementary District,,,,,,,,96.0,50.0,50.0,86.5,,,,21.9,21.9,96.9,30.2,41.156735,-88.64844
35-050-0650-04-2001,School,Ransom Grade School,Allen-Otter Creek CCSD 65,Ransom,La Salle,Elementary District,Elementary School,K - 8,Commendable,All Students,Title 1 Schoolwide,53.0,106.0,96.0,50.0,50.0,86.5,,,,21.9,21.9,96.9,30.2,41.166460949722,-88.584104370197
20-093-0170-24-0000,District,,Allendale CCSD 17,Allendale,Wabash,Unit District,,,,,,,,131.0,56.5,43.5,97.7,,,,22.1,21.4,100.0,47.3,38.528585,-87.711788
20-093-0170-24-2001,School,Allendale Elementary School,Allendale CCSD 17,Allendale,Wabash,Unit District,Elementary School,PK - 8,Commendable,All Students,Title 1 Schoolwide,58.0,116.0,131.0,56.5,43.5,97.7,,,,22.1,21.4,100.0,47.3,38.5256,-87.70669
07-016-1260-02-0000,District,,Alsip-Hazlgrn-Oaklwn SD 126,Alsip,Cook,Elementary District,,,,,,,,1538.0,50.4,49.6,28.7,16.9,47.7,3.3,18.1,17.4,67.1,52.3,41.669173,-87.73154
07-016-1260-02-3001,School,District 126 Early Childhood Center,Alsip-Hazlgrn-Oaklwn SD 126,Alsip,Cook,Elementary District,Special School,PK,,,Not a Participant in Title One Program,18.0,35.0,111.0,53.2,46.8,26.1,15.3,51.4,,32.4,32.4,64.9,24.3,41.670816,-87.733881
07-016-1260-02-2001,School,Hazelgreen Elem School,Alsip-Hazlgrn-Oaklwn SD 126,Alsip,Cook,Elementary District,Elementary School,K - 6,Commendable,All Students,Title 1 Schoolwide,18.0,35.0,276.0,55.4,44.6,31.5,17.4,42.4,5.4,19.2,19.2,71.7,58.7,41.678794,-87.745013
07-016-1260-02-2002,School,Lane Elem School,Alsip-Hazlgrn-Oaklwn SD 126,Alsip,Cook,Elementary District,Elementary School,K - 6,Commendable,All Students,Title 1 Schoolwide,18.0,35.0,241.0,45.6,54.4,19.9,28.2,45.6,,22.8,22.0,77.6,59.8,41.6692887,-87.7335094
07-016-1260-02-1005,School,Prairie Jr High School,Alsip-Hazlgrn-Oaklwn SD 126,Alsip,Cook,Elementary District,Middle/Junior High School,7 - 8,Commendable,All Students,Title 1 Schoolwide,18.0,35.0,293.0,48.8,51.2,30.7,16.0,48.5,,14.3,12.6,69.6,52.9,42.485099,-87.83626
07-016-1260-02-2004,School,Stony Creek Elem School,Alsip-Hazlgrn-Oaklwn SD 126,Alsip,Cook,Elementary District,Elementary School,K - 6,Commendable,All Students,Title 1 Schoolwide,18.0,35.0,617.0,50.2,49.8,30.3,13.0,49.8,,14.9,14.3,60.1,51.4,41.67976,-87.72894
03-025-0100-26-0000,District,,Altamont CUSD 10,Altamont,Effingham,Unit District,,,,,,,,672.0,47.5,52.5,93.6,,2.5,2.7,20.4,17.9,,58.3,39.059727,-88.747949
03-025-0100-26-2002,School,Altamont Grade School,Altamont CUSD 10,Altamont,Effingham,Unit District,Elementary School,PK - 8,Commendable,All Students,Title 1 Schoolwide,54.0,107.0,457.0,47.0,53.0,93.7,,2.2,2.8,21.9,20.4,,62.1,39.0648,-88.74528
03-025-0100-26-0001,School,Altamont High School,Altamont CUSD 10,Altamont,Effingham,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Eligible but Not Served,54.0,107.0,215.0,48.4,51.6,93.5,,,,17.2,12.6,100.0,50.2,39.058989,-88.7406386
41-057-0110-26-0000,District,,Alton CUSD 11,Alton,Madison,Unit District,,,,,,,,5455.0,51.6,,49.9,30.3,5.4,13.8,26.1,21.4,98.5,51.3,38.903341,-90.149352
41-057-0110-26-0001,School,Alton High School,Alton CUSD 11,Alton,Madison,Unit District,High School,9 - 12,Targeted,Low Income,Title 1 Schoolwide,56.0,111.0,1753.0,50.9,,54.8,28.0,5.8,10.8,21.9,15.3,98.5,42.0,38.936,-90.1594
41-057-0110-26-1006,School,Alton Middle School,Alton CUSD 11,Alton,Madison,Unit District,Middle/Junior High School,6 - 8,Targeted,Children with Disabilities,Title 1 Schoolwide,56.0,111.0,1188.0,,51.2,51.7,28.9,3.7,14.8,23.7,17.8,98.5,50.5,38.904551,-90.154459
41-057-0110-26-3004,School,Early Childhood,Alton CUSD 11,Godfrey,Madison,Unit District,Special School,PK,,,Title 1 Eligible but Not Served,56.0,111.0,264.0,59.8,40.2,44.7,34.5,,15.2,41.7,41.7,,55.3,38.9545491,-90.1915613
41-057-0110-26-2029,School,East Elementary School,Alton CUSD 11,Alton,Madison,Unit District,Elementary School,3 - 5,Commendable,All Students,Title 1 Schoolwide,56.0,111.0,409.0,52.1,47.9,44.0,35.7,3.7,15.6,33.3,29.8,99.3,66.0,38.8952491,-90.1517359
41-057-0110-26-2007,School,Eunice Smith Elem School,Alton CUSD 11,Alton,Madison,Unit District,Elementary School,K - 2,Commendable,All Students,Title 1 Schoolwide,56.0,111.0,191.0,54.5,45.5,42.9,31.4,,15.7,27.7,26.7,,66.0,38.912031,-90.177304
41-057-0110-26-2010,School,Gilson Brown Elem School,Alton CUSD 11,Godfrey,Madison,Unit District,Elementary School,K - 1,Targeted,"Black/African American, Children with Disabilities, Low Income",Title 1 Schoolwide,50.0,100.0,177.0,50.8,49.2,45.8,32.2,6.8,15.3,19.2,18.6,,58.2,38.93116,-90.21761
41-057-0110-26-2015,School,Lewis & Clark Elem School,Alton CUSD 11,Godfrey,Madison,Unit District,Elementary School,K - 1,Targeted,"Black/African American, Children with Disabilities, Low Income",Title 1 Schoolwide,50.0,100.0,243.0,46.5,53.5,47.7,33.7,,,20.6,18.1,99.2,57.6,38.96686,-90.1823219
41-057-0110-26-2024,School,Lovejoy Elem School,Alton CUSD 11,Alton,Madison,Unit District,Elementary School,K - 2,Commendable,All Students,Title 1 Schoolwide,56.0,111.0,229.0,57.6,42.4,47.6,30.6,,,34.1,32.8,,60.7,38.9053,-90.1678
41-057-0110-26-2030,School,North Elementary School,Alton CUSD 11,Godfrey,Madison,Unit District,Elementary School,2 - 5,Targeted,"Black/African American, Children with Disabilities",Title 1 Schoolwide,56.0,111.0,524.0,50.4,49.6,48.7,31.7,,13.5,25.2,21.8,99.6,48.7,38.948424,-90.192939
41-057-0110-26-2028,School,West Elementary School,Alton CUSD 11,Alton,Madison,Unit District,Elementary School,2 - 5,Targeted,"Black/African American, Children with Disabilities, Low Income",Title 1 Schoolwide,56.0,111.0,424.0,54.2,45.8,43.4,29.7,9.2,16.7,27.6,21.2,96.0,57.8,38.906174,-90.194148
28-037-2250-26-0000,District,,AlWood CUSD 225,Woodhull,Henry,Unit District,,,,,,,,352.0,53.7,46.3,93.5,,,5.1,18.5,15.6,,37.8,41.176873,-90.315726
28-037-2250-26-0001,School,AlWood  Middle/High School,AlWood CUSD 225,Woodhull,Henry,Unit District,High School,6 - 12,Commendable,All Students,Title 1 Eligible but Not Served,47.0,93.0,182.0,50.0,50.0,92.3,,,6.0,18.1,13.7,,33.5,41.181,-90.312
28-037-2250-26-2003,School,AlWood Elem School,AlWood CUSD 225,Alpha,Henry,Unit District,Elementary School,PK - 5,Commendable,All Students,Title 1 Targeted,36.0,71.0,170.0,57.6,42.4,94.7,,,,18.8,17.6,100.0,42.4,41.1955,-90.3787
47-052-2720-26-0000,District,,Amboy CUSD 272,Amboy,Lee,Unit District,,,,,,,,700.0,48.6,51.4,88.6,,9.0,1.7,16.0,11.9,98.4,44.6,41.7127376,-89.3342056
47-052-2720-26-2003,School,Amboy Central Elem School,Amboy CUSD 272,Amboy,Lee,Unit District,Elementary School,PK - 4,Commendable,All Students,Title 1 Targeted,37.0,74.0,273.0,47.3,52.7,88.3,,8.1,,21.2,17.6,,49.1,41.717308,-89.33395
47-052-2720-26-0001,School,Amboy High School,Amboy CUSD 272,Amboy,Lee,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Eligible but Not Served,37.0,74.0,223.0,53.8,46.2,88.8,,10.3,,13.0,9.0,97.8,38.1,41.719954,-89.333313
47-052-2720-26-1002,School,Amboy Jr High School,Amboy CUSD 272,Amboy,Lee,Unit District,Middle/Junior High School,5 - 8,Targeted,Children with Disabilities,Title 1 Eligible but Not Served,37.0,74.0,204.0,44.6,55.4,88.7,,8.8,,12.3,7.4,98.0,45.6,41.719954,-89.333313
30-091-0370-04-0000,District,,Anna CCSD 37,Anna,Union,Elementary District,,,,,,,,576.0,46.4,53.6,89.1,2.3,7.1,,22.6,20.5,96.7,50.3,37.462002,-89.243592
30-091-0370-04-1001,School,Anna Junior High School,Anna CCSD 37,Anna,Union,Elementary District,Middle/Junior High School,5 - 8,Commendable,All Students,Title 1 Schoolwide,59.0,118.0,229.0,48.5,51.5,89.1,,8.3,,26.6,22.3,94.8,48.9,37.461291,-89.252586
30-091-0370-04-2002,School,Davie Elem School,Anna CCSD 37,Anna,Union,Elementary District,Elementary School,3 - 4,Commendable,All Students,Title 1 Schoolwide,59.0,118.0,121.0,52.1,47.9,85.1,,,,23.1,21.5,,62.0,37.457607,-89.2471884
30-091-0370-04-2003,School,Lincoln Elem School,Anna CCSD 37,Anna,Union,Elementary District,Elementary School,PK - 2,Commendable,All Students,Title 1 Schoolwide,59.0,118.0,226.0,41.2,58.8,91.2,,5.8,,18.1,18.1,,45.6,37.464,-89.2483
30-091-0810-16-0000,District,,Anna Jonesboro CHSD 81,Anna,Union,High School District,,,,,,,,454.0,50.9,49.1,89.6,,6.6,,20.7,15.4,96.9,50.0,37.462002,-89.243592
30-091-0810-16-0001,School,Anna-Jonesboro High School,Anna Jonesboro CHSD 81,Anna,Union,High School District,High School,9 - 12,Commendable,All Students,Title 1 Schoolwide,59.0,118.0,454.0,50.9,49.1,89.6,,6.6,,20.7,15.4,96.9,50.0,37.456048,-89.254916
28-037-2260-26-0000,District,,Annawan CUSD 226,Annawan,Henry,Unit District,,,,,,,,328.0,58.5,41.5,92.4,,4.6,,12.8,10.1,,35.7,41.400661,-89.904844
28-037-2260-26-2002,School,Annawan Grade School,Annawan CUSD 226,Annawan,Henry,Unit District,Elementary School,PK - 8,Commendable,All Students,Title 1 Targeted,47.0,93.0,234.0,56.8,43.2,92.3,,5.1,,12.8,11.1,,37.6,41.393683,-89.913018
28-037-2260-26-0001,School,Annawan High School,Annawan CUSD 226,Annawan,Henry,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Eligible but Not Served,47.0,93.0,94.0,62.8,37.2,92.6,,,,12.8,,100.0,30.9,41.393745,-89.91121
34-049-0340-04-0000,District,,Antioch CCSD 34,Antioch,Lake,Elementary District,,,,,,,,2537.0,51.6,48.4,65.1,4.2,21.9,5.9,23.3,15.0,89.4,31.8,42.477237,-88.095767
34-049-0340-04-1002,School,Antioch Upper Grade School,Antioch CCSD 34,Antioch,Lake,Elementary District,Middle/Junior High School,6 - 8,Commendable,All Students,Title 1 Ineligible Due to Ranking,32.0,64.0,860.0,53.4,46.6,65.6,4.8,20.1,6.6,25.2,14.0,87.7,30.6,42.4794364,-88.1154832
34-049-0340-04-2006,School,Hillcrest Elementary School,Antioch CCSD 34,Antioch,Lake,Elementary District,Elementary School,K - 5,Commendable,All Students,Title 1 Targeted,32.0,64.0,595.0,51.9,48.1,60.0,4.0,25.7,7.6,19.5,14.3,89.6,32.9,42.4806079,-88.0952267
34-049-0340-04-3001,School,Mary Kay McNeill Early Learning Center,Antioch CCSD 34,Antioch,Lake,Elementary District,Special School,PK,,,Title 1 Eligible but Not Served,32.0,64.0,106.0,65.1,34.9,62.3,,26.4,,41.5,40.6,89.6,35.8,42.480505,-88.095251
34-049-0340-04-2004,School,Oakland Elementary School,Antioch CCSD 34,Lake Villa,Lake,Elementary District,Elementary School,K - 5,Commendable,All Students,Title 1 Ineligible Due to Ranking,32.0,64.0,529.0,47.4,52.6,63.7,4.7,21.0,5.5,21.6,14.2,88.5,26.7,42.443358,-88.064311
34-049-0340-04-2005,School,W C Petty Elementary School,Antioch CCSD 34,Antioch,Lake,Elementary District,Elementary School,K - 5,Commendable,All Students,Title 1 Targeted,32.0,64.0,447.0,49.2,50.8,73.2,3.1,20.1,,22.1,12.8,93.5,37.8,42.480663,-88.116943
34-049-1020-04-0000,District,,Aptakisic-Tripp CCSD 102,Buffalo Grove,Lake,Elementary District,,,,,,,,2542.0,49.9,50.1,30.1,1.8,5.5,6.1,15.5,10.8,45.6,10.1,42.151944,-87.966776
34-049-1020-04-1002,School,Aptakisic Junior High School,Aptakisic-Tripp CCSD 102,Buffalo Grove,Lake,Elementary District,Middle/Junior High School,6 - 8,Commendable,All Students,Title 1 Targeted,30.0,59.0,931.0,50.5,49.5,31.0,,5.3,4.9,13.4,7.6,47.6,10.6,42.1746004,-87.9479299
34-049-1020-04-2002,School,Earl Pritchett School,Aptakisic-Tripp CCSD 102,Buffalo Grove,Lake,Elementary District,Elementary School,K - 3,Commendable,All Students,Title 1 Ineligible Due to Ranking,30.0,59.0,437.0,50.8,49.2,32.3,,,4.8,17.2,12.8,46.5,8.7,42.157353,-87.94785
34-049-1020-04-2005,School,Meridian School,Aptakisic-Tripp CCSD 102,Buffalo Grove,Lake,Elementary District,Elementary School,PK - 5,Commendable,All Students,Title 1 Targeted,30.0,59.0,696.0,50.7,49.3,27.9,2.2,6.8,6.6,19.4,14.8,43.5,7.3,42.189362,-87.957779
34-049-1020-04-2003,School,Tripp School,Aptakisic-Tripp CCSD 102,Buffalo Grove,Lake,Elementary District,Elementary School,K - 3,Commendable,All Students,Title 1 Targeted,30.0,59.0,478.0,46.7,53.3,29.7,,5.4,9.0,12.3,9.4,44.1,14.2,42.167916,-87.955637
07-016-1450-02-0000,District,,Arbor Park SD 145,Oak Forest,Cook,Elementary District,,,,,,,,1159.0,52.3,47.7,38.2,12.0,30.2,1.5,15.1,12.4,68.0,48.2,41.6102584,-87.7569556
07-016-1450-02-2004,School,Arbor Elementary School,Arbor Park SD 145,Oak Forest,Cook,Elementary District,Elementary School,1 - 2,Commendable,All Students,Title 1 Targeted,19.0,38.0,229.0,55.0,45.0,39.3,10.9,29.7,,10.5,8.7,72.9,46.7,41.826691,-88.063645
07-016-1450-02-1001,School,Arbor Park Middle School,Arbor Park SD 145,Oak Forest,Cook,Elementary District,Middle/Junior High School,5 - 8,Targeted,Children with Disabilities,Title 1 Eligible but Not Served,19.0,38.0,509.0,54.2,45.8,38.7,14.5,30.5,,14.3,10.2,67.6,48.7,41.60227,-87.73827
07-016-1450-02-2002,School,Kimberly Heights Elementary School,Arbor Park SD 145,Tinley Park,Cook,Elementary District,Elementary School,PK - K,,,Title 1 Eligible but Not Served,14.0,28.0,179.0,52.0,48.0,34.1,6.7,31.8,,24.6,24.6,65.4,35.8,41.590365,-87.769714
07-016-1450-02-2003,School,Scarlet Oak Elementary School,Arbor Park SD 145,Oak Forest,Cook,Elementary District,Elementary School,3 - 4,Commendable,All Students,Title 1 Targeted,14.0,28.0,242.0,45.9,54.1,39.3,11.6,28.9,,14.0,11.6,66.1,57.9,41.6072246,-87.7600714
11-021-3060-26-0000,District,,Arcola CUSD 306,Arcola,Douglas,Unit District,,,,,,,,699.0,51.8,48.2,48.4,,48.2,1.7,21.5,16.3,62.9,50.5,39.6839161,-88.3019898
11-021-3060-26-2002,School,Arcola Elementary School,Arcola CUSD 306,Arcola,Douglas,Unit District,Elementary School,PK - 6,Commendable,All Students,Title 1 Schoolwide,51.0,101.0,405.0,50.4,49.6,46.4,,50.4,,24.9,21.7,61.5,45.7,39.683394,-88.316728
11-021-3060-26-0001,School,Arcola High School,Arcola CUSD 306,Arcola,Douglas,Unit District,High School,7 - 12,Commendable,All Students,Title 1 Eligible but Not Served,51.0,101.0,294.0,53.7,46.3,51.0,,45.2,,16.7,8.8,65.0,57.1,39.68364,-88.31727
39-055-0010-26-0000,District,,Argenta-Oreana CUSD 1,Argenta,Macon,Unit District,,,,,,,,865.0,51.7,,83.0,3.9,3.1,8.7,17.0,15.6,99.4,55.3,39.986499,-88.82245
39-055-0010-26-2002,School,Argenta-Oreana Elementary School,Argenta-Oreana CUSD 1,Oreana,Macon,Unit District,Elementary School,PK - 5,Targeted,Children with Disabilities,Title 1 Schoolwide,44.0,88.0,432.0,50.7,49.3,85.6,3.5,,8.1,19.9,17.1,,53.7,39.936939,-88.872103
39-055-0010-26-0001,School,Argenta-Oreana High School,Argenta-Oreana CUSD 1,Argenta,Macon,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Eligible but Not Served,44.0,88.0,259.0,51.4,,80.7,4.6,3.9,8.9,11.2,11.2,,55.2,39.98643,-88.81924
39-055-0010-26-1001,School,Argenta-Oreana Middle School,Argenta-Oreana CUSD 1,Argenta,Macon,Unit District,Middle/Junior High School,6 - 8,Targeted,Children with Disabilities,Title 1 Schoolwide,44.0,88.0,174.0,54.6,45.4,79.9,,5.7,9.8,18.4,18.4,,59.2,39.9860098,-88.8181963
07-016-2170-16-0000,District,,Argo CHSD 217,Summit,Cook,High School District,,,,,,,,1739.0,50.5,,28.2,11.3,54.1,,16.7,11.9,42.4,64.2,41.785386,-87.808504
07-016-2170-16-0001,School,Argo Community High School,Argo CHSD 217,Summit,Cook,High School District,High School,9 - 12,Commendable,All Students,Title 1 Schoolwide,11.0,21.0,1739.0,50.5,,28.2,11.3,54.1,,16.7,11.9,42.4,64.2,41.7748665,-87.8045347
05-016-0250-02-0000,District,,Arlington Heights SD 25,Arlington Heights,Cook,Elementary District,,,,,,,,5359.0,51.5,48.5,74.2,1.3,10.1,,19.6,12.3,81.3,16.0,42.0829775,-87.9804577
05-016-0250-02-2002,School,Dryden Elem School,Arlington Heights SD 25,Arlington Heights,Cook,Elementary District,Elementary School,K - 5,Exemplary,All Students,Title 1 Eligible but Not Served,27.0,53.0,477.0,51.6,48.4,79.9,,10.1,,17.4,13.2,81.3,21.6,42.0701418,-87.9715604
05-016-0250-02-2004,School,Greenbrier Elem School,Arlington Heights SD 25,Arlington Heights,Cook,Elementary District,Elementary School,PK - 5,Exemplary,All Students,Title 1 Eligible but Not Served,27.0,54.0,369.0,56.1,43.9,65.6,,8.4,,22.5,21.7,71.5,20.6,42.1197174,-87.9983738
05-016-0250-02-2005,School,Ivy Hill Elem School,Arlington Heights SD 25,Arlington Heights,Cook,Elementary District,Elementary School,PK - 5,Exemplary,All Students,Title 1 Targeted,27.0,54.0,577.0,49.7,50.3,47.5,,14.2,,7.8,5.5,59.8,25.8,42.1157243,-87.9720397
05-016-0250-02-2009,School,Olive-Mary Stitt School,Arlington Heights SD 25,Arlington Heights,Cook,Elementary District,Elementary School,K - 5,Exemplary,All Students,Title 1 Eligible but Not Served,27.0,54.0,626.0,51.9,48.1,81.0,,8.1,,16.9,8.1,93.3,5.8,42.098934,-87.979285
05-016-0250-02-2011,School,Patton Elem School,Arlington Heights SD 25,Arlington Heights,Cook,Elementary District,Elementary School,K - 5,Exemplary,All Students,Title 1 Eligible but Not Served,27.0,54.0,373.0,46.9,53.1,82.0,,9.4,,18.0,9.9,90.9,8.6,42.1067388,-87.9969883
