school_id,school_name,district,county,school_type,grades_served,year,y_ela_prof,y_math_prof,y_chronic_abs,y_grad_4yr,Latitude,Longitude
05-016-0230-02-2004,Betsy Ross Elem School,Prospect Heights SD 23,Cook,Elementary School,3-Feb,2025,61.3,72.3,21.4,,42.1103881,-87.9469158
05-016-0230-02-2005,Anne Sullivan Elem School,Prospect Heights SD 23,Cook,Elementary School,5-Apr,2025,64.4,53.9,12.8,,42.108953,-87.949036
05-016-0250-02-0000,,Arlington Heights SD 25,Cook,,,2025,74.6,63.3,10.5,,,
05-016-0250-02-1014,South Middle School,Arlington Heights SD 25,Cook,Middle/Junior High School,8-Jun,2025,73.3,51.0,8.2,,42.0766,-87.9862
05-016-0250-02-1015,Thomas Middle School,Arlington Heights SD 25,Cook,Middle/Junior High School,8-Jun,2025,78.6,59.3,9.1,,42.1024279,-87.9789251
05-016-0250-02-2002,Dryden Elem School,Arlington Heights SD 25,Cook,Elementary School,K - 5,2025,73.8,65.4,11.0,,42.0701418,-87.9715604
05-016-0250-02-2004,Greenbrier Elem School,Arlington Heights SD 25,Cook,Elementary School,PK - 5,2025,70.5,76.7,16.3,,42.1197174,-87.9983738
05-016-0250-02-2005,Ivy Hill Elem School,Arlington Heights SD 25,Cook,Elementary School,PK - 5,2025,74.1,72.0,15.4,,42.1157243,-87.9720397
05-016-0250-02-2009,Olive-Mary Stitt School,Arlington Heights SD 25,Cook,Elementary School,K - 5,2025,76.1,72.6,9.3,,42.098934,-87.979285
05-016-0250-02-2011,Patton Elem School,Arlington Heights SD 25,Cook,Elementary School,K - 5,2025,81.3,77.6,7.8,,42.1067388,-87.9969883
05-016-0250-02-2016,Westgate Elem School,Arlington Heights SD 25,Cook,Elementary School,K - 5,2025,67.2,66.7,11.1,,42.0749901,-87.9983849
05-016-0250-02-2018,Windsor Elementary School,Arlington Heights SD 25,Cook,Elementary School,K - 5,2025,68.4,70.9,11.2,,42.0836785,-87.966318
05-016-0260-02-0000,,River Trails SD 26,Cook,,,2025,55.4,52.3,13.6,,,
05-016-0260-02-1006,River Trails Middle School,River Trails SD 26,Cook,Middle/Junior High School,8-Jun,2025,54.4,46.8,14.0,,42.0834806,-87.908974
05-016-0260-02-2001,Euclid Elem School,River Trails SD 26,Cook,Elementary School,PK - 5,2025,44.0,49.1,14.3,,32.799146,-97.186628
05-016-0260-02-2003,Indian Grove Elem School,River Trails SD 26,Cook,Elementary School,5-Jan,2025,65.1,65.1,10.7,,42.09085,-87.89944
05-016-0260-02-2004,Prairie Trails School,River Trails SD 26,Cook,Elementary School,PK - K,2025,,,21.4,,40.697631738367,-92.268763728125
05-016-0270-02-0000,,Northbrook ESD 27,Cook,,,2025,88.2,81.2,10.8,,,
05-016-0270-02-1005,Wood Oaks Jr High School,Northbrook ESD 27,Cook,Middle/Junior High School,8-Jun,2025,88.7,82.6,13.2,,42.130979,-87.831558
05-016-0270-02-2002,Hickory Point Elem School,Northbrook ESD 27,Cook,Elementary School,PK - 2,2025,,,9.4,,42.1428968,-87.8687052
05-016-0270-02-2004,Shabonee School,Northbrook ESD 27,Cook,Elementary School,5-Mar,2025,87.6,79.9,9.7,,42.13447,-87.85146
05-016-0280-02-0000,,Northbrook SD 28,Cook,,,2025,86.9,80.7,9.5,,,
05-016-0280-02-1004,Northbrook Junior High School,Northbrook SD 28,Cook,Middle/Junior High School,8-Jun,2025,88.9,80.1,10.8,,42.12475,-87.81645
05-016-0280-02-2002,Greenbriar Elem School,Northbrook SD 28,Cook,Elementary School,K - 5,2025,78.8,78.8,9.5,,42.12975,-87.8334
05-016-0280-02-2003,Meadowbrook Elem School,Northbrook SD 28,Cook,Elementary School,K - 5,2025,85.3,83.9,10.1,,42.1279375,-87.8200703
05-016-0280-02-2006,Westmoor Elem School,Northbrook SD 28,Cook,Elementary School,PK - 5,2025,89.9,81.0,6.2,,42.1316152,-87.8420644
05-016-0290-02-0000,,Sunset Ridge SD 29,Cook,,,2025,87.0,81.9,10.0,,,
05-016-0290-02-2001,Middlefork Primary School,Sunset Ridge SD 29,Cook,Elementary School,K - 3,2025,81.0,81.0,7.3,,42.1030298,-87.7799549
05-016-0290-02-2002,Sunset Ridge Elem School,Sunset Ridge SD 29,Cook,Elementary School,8-Apr,2025,88.3,82.1,12.4,,41.555278,-88.187778
05-016-0300-02-0000,,Northbrook/Glenview SD 30,Cook,,,2025,88.0,85.6,7.4,,,
05-016-0300-02-1001,Maple School,Northbrook/Glenview SD 30,Cook,Middle/Junior High School,8-Jun,2025,91.5,85.7,9.6,,42.109435720082,-87.834697781363
05-016-0300-02-2002,Willowbrook Elem School,Northbrook/Glenview SD 30,Cook,Elementary School,PK - 5,2025,84.7,84.7,4.4,,42.1015694,-87.8426181
05-016-0300-02-2003,Wescott Elementary School,Northbrook/Glenview SD 30,Cook,Elementary School,K - 5,2025,84.3,85.9,7.1,,42.1198,-87.8401
