NAME,median_household_income,zip_code,ZIP,TRACT,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO,county_fips
ZCTA5 60004,124962,60004,60004,17031802900,ARLINGTON HEIGHTS,IL,0.1045673076923077,0.13867758923346987,0.038366336633663366,0.10261650038065473,17031
ZCTA5 60004,124962,60004,60004,17031803100,ARLINGTON HEIGHTS,IL,0.05898668639053255,0.033352837916910474,0.019183168316831683,0.05465400488840806,17031
ZCTA5 60004,124962,60004,60004,17031803612,ARLINGTON HEIGHTS,IL,0.07123705621301775,0.003510825043885313,0.2524752475247525,0.07833473574548223,17031
ZCTA5 60004,124962,60004,60004,17031803300,ARLINGTON HEIGHTS,IL,0.04696745562130177,0.11117612638970158,0.09158415841584158,0.054253315703009175,17031
ZCTA5 60004,124962,60004,60004,17031803007,ARLINGTON HEIGHTS,IL,0.06684541420118344,0.022235225277940317,0.03155940594059406,0.06150578995872901,17031
ZCTA5 60004,124962,60004,60004,17031803008,ARLINGTON HEIGHTS,IL,0.08205436390532544,0.05500292568753657,0.04826732673267327,0.07801418439716312,17031
ZCTA5 60004,124962,60004,60004,17031803901,ARLINGTON HEIGHTS,IL,9.245562130177515e-05,0,0,8.013783707977722e-05,17031
ZCTA5 60004,124962,60004,60004,17031803005,ARLINGTON HEIGHTS,IL,0.03527181952662722,0.34991222937390287,0.07673267326732673,0.059502344031734586,17031
ZCTA5 60004,124962,60004,60004,17031803012,ARLINGTON HEIGHTS,IL,0.027690458579881658,0.03978935049736688,0.04146039603960396,0.029410586208278237,17031
ZCTA5 60004,124962,60004,60004,17031803017,ARLINGTON HEIGHTS,IL,0.08223927514792899,0.05558806319485079,0.09900990099009901,0.08150018031013342,17031
ZCTA5 60004,124962,60004,60004,17031803010,ARLINGTON HEIGHTS,IL,0.046227810650887574,0.024575775307197192,0.11076732673267327,0.04892414953720399,17031
ZCTA5 60004,124962,60004,60004,17031803613,ARLINGTON HEIGHTS,IL,0,0.0076067875950848445,0.0006188118811881188,0.0005609648595584405,17031
ZCTA5 60004,124962,60004,60004,17031803016,ARLINGTON HEIGHTS,IL,0.04793823964497041,0.016968987712112346,0.009900990099009901,0.043354569860159474,17031
ZCTA5 60004,124962,60004,60004,17031802801,ARLINGTON HEIGHTS,IL,0.08367233727810651,0.021064950263311878,0.04084158415841584,0.07661177224826701,17031
ZCTA5 60004,124962,60004,60004,17031802608,ARLINGTON HEIGHTS,IL,0.06823224852071005,0.037448800468110006,0.08292079207920793,0.06707536963577353,17031
ZCTA5 60004,124962,60004,60004,17031803400,ARLINGTON HEIGHTS,IL,0.032636834319526624,0.028671737858396724,0.028465346534653466,0.032095203750450774,17031
ZCTA5 60004,124962,60004,60004,17031803015,ARLINGTON HEIGHTS,IL,0.040634245562130175,0.014628437682855471,0.0012376237623762376,0.03630244019713908,17031
ZCTA5 60004,124962,60004,60004,17031802503,ARLINGTON HEIGHTS,IL,0.006610576923076923,0.004681100058513751,0.0037128712871287127,0.0062908202107625115,17031
ZCTA5 60004,124962,60004,60004,17031803200,ARLINGTON HEIGHTS,IL,0.09809541420118344,0.03510825043885313,0.022896039603960396,0.08891293024001282,17031
ZCTA5 60005,100304,60005,60005,17031770300,ARLINGTON HEIGHTS,IL,0,0.0043206913106096975,0.001893939393939394,0.0006380510440835267,17031
ZCTA5 60005,100304,60005,60005,17031803500,ARLINGTON HEIGHTS,IL,0.16317991631799164,0.1171387421987518,0.07196969696969698,0.15203016241299305,17031
ZCTA5 60005,100304,60005,60005,17031803200,ARLINGTON HEIGHTS,IL,0.0177292390610595,0.00528084493518963,0.03598484848484849,0.01734338747099768,17031
ZCTA5 60005,100304,60005,60005,17031805111,ARLINGTON HEIGHTS,IL,0.03127437770370896,0.08161305808929428,0.023674242424242424,0.03689095127610209,17031
ZCTA5 60005,100304,60005,60005,17031805106,ARLINGTON HEIGHTS,IL,0.08970994964896106,0.04944791166586654,0.06060606060606061,0.08306264501160093,17031
ZCTA5 60005,100304,60005,60005,17031805112,ARLINGTON HEIGHTS,IL,7.091695624423799e-05,0.04704752760441671,0.00946969696969697,0.006322505800464037,17031
ZCTA5 60005,100304,60005,60005,17031805110,ARLINGTON HEIGHTS,IL,0.1323310403517481,0.06048967834853577,0.045454545454545456,0.11832946635730858,17031
ZCTA5 60005,100304,60005,60005,17031805109,ARLINGTON HEIGHTS,IL,0.07623572796255584,0.03408545367258761,0.038825757575757576,0.06885150812064965,17031
ZCTA5 60005,100304,60005,60005,17031803400,ARLINGTON HEIGHTS,IL,0.12552301255230125,0.08977436389822371,0.13731060606060605,0.12192575406032483,17031
ZCTA5 60005,100304,60005,60005,17031802802,ARLINGTON HEIGHTS,IL,0,0.0014402304368698992,0,0.00017401392111368908,17031
ZCTA5 60005,100304,60005,60005,17031803901,ARLINGTON HEIGHTS,IL,0.016381816892418976,0.04128660585693711,0.021780303030303032,0.019721577726218097,17031
ZCTA5 60005,100304,60005,60005,17031805107,ARLINGTON HEIGHTS,IL,0.1216934969151124,0.2962073931829093,0.24526515151515152,0.15034802784222737,17031
ZCTA5 60005,100304,60005,60005,17031803300,ARLINGTON HEIGHTS,IL,0.17254095454223103,0.11809889582333173,0.18181818181818182,0.16653132250580047,17031
ZCTA5 60005,100304,60005,60005,17031805108,ARLINGTON HEIGHTS,IL,0.05332955109566698,0.05376860297647624,0.1259469696969697,0.05783062645011601,17031
