school_id,school_name,district,county,school_type,grades_served
05-016-0300-02-0000,,Northbrook/Glenview SD 30,Cook,,
05-016-0300-02-1001,Maple School,Northbrook/Glenview SD 30,Cook,Middle/Junior High School,6 - 8
05-016-0300-02-2002,Willowbrook Elem School,Northbrook/Glenview SD 30,Cook,Elementary School,PK - 5
05-016-0300-02-2003,Wescott Elementary School,Northbrook/Glenview SD 30,Cook,Elementary School,K - 5
05-016-0310-02-0000,,West Northfield SD 31,Cook,,
05-016-0310-02-1001,Field School,West Northfield SD 31,Cook,Middle/Junior High School,6 - 8
05-016-0310-02-2002,Henry Winkelman Elem School,West Northfield SD 31,Cook,Elementary School,PK - 5
05-016-0340-04-0000,,Glenview CCSD 34,Cook,,
05-016-0340-04-1006,Attea Middle School,Glenview CCSD 34,Cook,Middle/Junior High School,6 - 8
05-016-0340-04-1007,Springman Middle School,Glenview CCSD 34,Cook,Middle/Junior High School,6 - 8
05-016-0340-04-2001,Glen Grove Elem School,Glenview CCSD 34,Cook,Elementary School,3 - 5
05-016-0340-04-2002,Henking Elem School,Glenview CCSD 34,Cook,Elementary School,PK - 2
05-016-0340-04-2003,Hoffman Elem School,Glenview CCSD 34,Cook,Elementary School,3 - 5
05-016-0340-04-2004,Lyon Elem School,Glenview CCSD 34,Cook,Elementary School,PK - 2
05-016-0340-04-2005,Pleasant Ridge Elem School,Glenview CCSD 34,Cook,Elementary School,3 - 5
05-016-0340-04-2008,Westbrook Elementary School,Glenview CCSD 34,Cook,Elementary School,PK - 2
05-016-0350-02-0000,,Glencoe SD 35,Cook,,
05-016-0350-02-1001,Central School,Glencoe SD 35,Cook,Middle/Junior High School,5 - 8
05-016-0350-02-2001,West School,Glencoe SD 35,Cook,Elementary School,3 - 4
05-016-0350-02-2002,South Elem School,Glencoe SD 35,Cook,Elementary School,PK - 2
05-016-0360-02-0000,,Winnetka SD 36,Cook,,
05-016-0360-02-1005,Carleton W Washburne School,Winnetka SD 36,Cook,Middle/Junior High School,7 - 8
05-016-0360-02-2001,Crow Island Elem School,Winnetka SD 36,Cook,Elementary School,K - 4
05-016-0360-02-2002,Greeley Elem School,Winnetka SD 36,Cook,Elementary School,K - 4
05-016-0360-02-2003,Hubbard Woods Elem School,Winnetka SD 36,Cook,Elementary School,K - 4
05-016-0360-02-2004,The Skokie School,Winnetka SD 36,Cook,Elementary School,5 - 6
05-016-0370-02-0000,,Avoca SD 37,Cook,,
05-016-0370-02-1001,Marie Murphy School,Avoca SD 37,Cook,Middle/Junior High School,PK - 8
05-016-0370-02-2003,Avoca West Elem School,Avoca SD 37,Cook,Elementary School,K - 5
05-016-0380-02-0000,,Kenilworth SD 38,Cook,,
05-016-0380-02-2001,The Joseph Sears School,Kenilworth SD 38,Cook,Elementary School,PK - 8
05-016-0390-02-0000,,Wilmette SD 39,Cook,,
05-016-0390-02-1008,Wilmette Junior High School,Wilmette SD 39,Cook,Middle/Junior High School,7 - 8
05-016-0390-02-2002,Central Elem School,Wilmette SD 39,Cook,Elementary School,K - 4
05-016-0390-02-2003,Harper Elem School,Wilmette SD 39,Cook,Elementary School,K - 4
05-016-0390-02-2005,McKenzie Elem School,Wilmette SD 39,Cook,Elementary School,K - 4
05-016-0390-02-2006,Romona Elem School,Wilmette SD 39,Cook,Elementary School,PK - 4
05-016-0390-02-2007,Highcrest Middle School,Wilmette SD 39,Cook,Elementary School,5 - 6
05-016-0540-04-0000,,Schaumburg CCSD 54,Cook,,
05-016-0540-04-1001,Jane Addams JHS,Schaumburg CCSD 54,Cook,Middle/Junior High School,4 - 8
05-016-0540-04-1012,Robert Frost JHS,Schaumburg CCSD 54,Cook,Middle/Junior High School,7 - 8
05-016-0540-04-1018,Dwight D Eisenhower JHS,Schaumburg CCSD 54,Cook,Middle/Junior High School,7 - 8
05-016-0540-04-1019,Margaret Mead JHS,Schaumburg CCSD 54,Cook,Middle/Junior High School,7 - 8
05-016-0540-04-1020,Helen Keller JHS,Schaumburg CCSD 54,Cook,Middle/Junior High School,6 - 8
05-016-0540-04-2002,Buzz Aldrin Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6
05-016-0540-04-2003,Neil Armstrong Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6
05-016-0540-04-2005,Campanelli Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6
05-016-0540-04-2006,Winston Churchill Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6
05-016-0540-04-2007,Michael Collins Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6
05-016-0540-04-2008,Everett Dirksen Elementary Sch,Schaumburg CCSD 54,Cook,Elementary School,K - 6
05-016-0540-04-2009,Thomas Dooley Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6
05-016-0540-04-2010,Fairview Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6
05-016-0540-04-2011,Anne Fox Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6
05-016-0540-04-2013,Hanover Highlands Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6
05-016-0540-04-2015,Nathan Hale Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6
05-016-0540-04-2018,Lakeview Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6
05-016-0540-04-2019,MacArthur International Spanish Academy,Schaumburg CCSD 54,Cook,Elementary School,K - 6
05-016-0540-04-2022,John Muir Literacy Academy,Schaumburg CCSD 54,Cook,Elementary School,K - 6
05-016-0540-04-2023,Adolph Link Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6
05-016-0540-04-2026,Albert Einstein Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6
05-016-0540-04-2027,Hoover Math and Science Academy,Schaumburg CCSD 54,Cook,Elementary School,K - 6
05-016-0540-04-2028,Adlai Stevenson Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6
05-016-0540-04-2029,Frederick Nerge Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6
05-016-0540-04-2030,Enders-Salk Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6
05-016-0540-04-2031,Elizabeth Blackwell Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6
05-016-0540-04-2032,Lincoln Prairie School,Schaumburg CCSD 54,Cook,Elementary School,K - 8
05-016-0540-04-3111,The District 54 Early Learning Center,Schaumburg CCSD 54,Cook,Special School,PK
05-016-0570-02-0000,,Mount Prospect SD 57,Cook,,
05-016-0570-02-1004,Lincoln Middle School,Mount Prospect SD 57,Cook,Middle/Junior High School,6 - 8
05-016-0570-02-2002,Fairview Elem School,Mount Prospect SD 57,Cook,Elementary School,2 - 5
05-016-0570-02-2005,Lions Park Elem School,Mount Prospect SD 57,Cook,Elementary School,2 - 5
05-016-0570-02-2008,Westbrook Early Learning Cntr,Mount Prospect SD 57,Cook,Elementary School,PK - 1
05-016-0590-04-0000,,Comm Cons SD 59,Cook,,
05-016-0590-04-1010,Grove Jr High School,Comm Cons SD 59,Cook,Middle/Junior High School,6 - 8
05-016-0590-04-1012,Holmes Jr High School,Comm Cons SD 59,Cook,Middle/Junior High School,6 - 8
05-016-0590-04-1016,Friendship Jr High School,Comm Cons SD 59,Cook,Middle/Junior High School,6 - 8
05-016-0590-04-2001,Brentwood Elem School,Comm Cons SD 59,Cook,Elementary School,K - 5
05-016-0590-04-2002,Adm Richard E Byrd Elem School,Comm Cons SD 59,Cook,Elementary School,K - 5
05-016-0590-04-2003,Clearmont Elem School,Comm Cons SD 59,Cook,Elementary School,K - 5
05-016-0590-04-2006,Devonshire School,Comm Cons SD 59,Cook,Elementary School,K - 5
05-016-0590-04-2008,Forest View Elem School,Comm Cons SD 59,Cook,Elementary School,K - 5
05-016-0590-04-2009,Robert Frost Elem School,Comm Cons SD 59,Cook,Elementary School,K - 5
05-016-0590-04-2014,John Jay Elem School,Comm Cons SD 59,Cook,Elementary School,K - 5
05-016-0590-04-2016,Juliette Low Elem School,Comm Cons SD 59,Cook,Elementary School,K - 5
05-016-0590-04-2018,Rupley Elem School,Comm Cons SD 59,Cook,Elementary School,K - 5
05-016-0590-04-2019,Salt Creek Elem School,Comm Cons SD 59,Cook,Elementary School,K - 5
05-016-0590-04-2020,Ridge Family Center for Learning,Comm Cons SD 59,Cook,Elementary School,K - 5
05-016-0590-04-3002,The Early Learning Center,Comm Cons SD 59,Cook,Special School,PK
05-016-0620-04-0000,,CCSD 62,Cook,,
05-016-0620-04-1001,Algonquin Middle School,CCSD 62,Cook,Middle/Junior High School,6 - 8
05-016-0620-04-1003,Chippewa Middle School,CCSD 62,Cook,Middle/Junior High School,6 - 8
05-016-0620-04-2001,Iroquois Community School,CCSD 62,Cook,Elementary School,K - 8
05-016-0620-04-2002,Central Elem School,CCSD 62,Cook,Elementary School,K - 5
05-016-0620-04-2004,Cumberland Elem School,CCSD 62,Cook,Elementary School,K - 5
05-016-0620-04-2005,Forest Elem School,CCSD 62,Cook,Elementary School,PK - 5
05-016-0620-04-2008,North Elementary School,CCSD 62,Cook,Elementary School,K - 5
05-016-0620-04-2009,Orchard Place Elem School,CCSD 62,Cook,Elementary School,K - 5
05-016-0620-04-2010,Plainfield Elem School,CCSD 62,Cook,Elementary School,K - 5
05-016-0620-04-2011,South Elem School,CCSD 62,Cook,Elementary School,K - 5
05-016-0620-04-2012,Terrace Elem School,CCSD 62,Cook,Elementary School,K - 5
05-016-0630-02-0000,,East Maine SD 63,Cook,,
05-016-0630-02-1003,Gemini Middle School,East Maine SD 63,Cook,Middle/Junior High School,6 - 8
05-016-0630-02-2006,V H Nelson Elem School,East Maine SD 63,Cook,Elementary School,K - 5
05-016-0630-02-2009,Mark Twain Elem School,East Maine SD 63,Cook,Elementary School,K - 5
05-016-0630-02-2010,Washington Elem School,East Maine SD 63,Cook,Elementary School,K - 5
05-016-0630-02-2011,Melzer School,East Maine SD 63,Cook,Elementary School,K - 5
05-016-0630-02-2012,Apollo Elem School,East Maine SD 63,Cook,Elementary School,K - 5
05-016-0630-02-3001,Early Learning Center,East Maine SD 63,Cook,Special School,PK
05-016-0640-04-0000,,Park Ridge CCSD 64,Cook,,
05-016-0640-04-1006,Emerson Middle School,Park Ridge CCSD 64,Cook,Middle/Junior High School,6 - 8
05-016-0640-04-1007,Lincoln Middle School,Park Ridge CCSD 64,Cook,Middle/Junior High School,6 - 8
05-016-0640-04-2001,George B Carpenter Elem School,Park Ridge CCSD 64,Cook,Elementary School,K - 5
05-016-0640-04-2004,Eugene Field Elem School,Park Ridge CCSD 64,Cook,Elementary School,K - 5
05-016-0640-04-2005,Franklin Elementary School,Park Ridge CCSD 64,Cook,Elementary School,K - 5
05-016-0640-04-2011,Theodore Roosevelt Elem School,Park Ridge CCSD 64,Cook,Elementary School,K - 5
05-016-0640-04-2012,George Washington Elem School,Park Ridge CCSD 64,Cook,Elementary School,K - 5
05-016-0640-04-3001,Jefferson School,Park Ridge CCSD 64,Cook,Special School,PK
05-016-0650-04-0000,,Evanston CCSD 65,Cook,,
05-016-0650-04-1002,Chute Middle School,Evanston CCSD 65,Cook,Middle/Junior High School,6 - 8
05-016-0650-04-1007,Haven Middle School,Evanston CCSD 65,Cook,Middle/Junior High School,6 - 8
05-016-0650-04-1012,Nichols Middle School,Evanston CCSD 65,Cook,Middle/Junior High School,6 - 8
05-016-0650-04-2004,Dawes Elementary School,Evanston CCSD 65,Cook,Elementary School,K - 5
05-016-0650-04-2005,Dewey Elem School,Evanston CCSD 65,Cook,Elementary School,K - 5
05-016-0650-04-2009,Lincoln Elem School,Evanston CCSD 65,Cook,Elementary School,K - 5
05-016-0650-04-2010,Lincolnwood Elem School,Evanston CCSD 65,Cook,Elementary School,K - 5
05-016-0650-04-2014,Oakton Elem School,Evanston CCSD 65,Cook,Elementary School,K - 5
05-016-0650-04-2015,Orrington Elem School,Evanston CCSD 65,Cook,Elementary School,K - 5
05-016-0650-04-2019,Walker Elem School,Evanston CCSD 65,Cook,Elementary School,K - 5
05-016-0650-04-2020,Washington Elem School,Evanston CCSD 65,Cook,Elementary School,K - 5
05-016-0650-04-2021,Willard Elem School,Evanston CCSD 65,Cook,Elementary School,K - 5
05-016-0650-04-2022,Dr ML King Jr Literary & Fine Arts Sch,Evanston CCSD 65,Cook,Elementary School,K - 8
05-016-0650-04-2023,Kingsley Elementary School,Evanston CCSD 65,Cook,Elementary School,K - 5
05-016-0650-04-2024,Dr Bessie Rhodes Sch Global Studies,Evanston CCSD 65,Cook,Elementary School,K - 8
05-016-0650-04-3020,Joseph E Hill Education Center,Evanston CCSD 65,Cook,Special School,PK
05-016-0670-02-0000,,Golf ESD 67,Cook,,
05-016-0670-02-1002,Golf Middle School,Golf ESD 67,Cook,Middle/Junior High School,5 - 8
05-016-0670-02-2003,Hynes Elem School,Golf ESD 67,Cook,Elementary School,PK - 4
05-016-0680-02-0000,,Skokie SD 68,Cook,,
05-016-0680-02-1002,Old Orchard Jr High School,Skokie SD 68,Cook,Middle/Junior High School,PK - 8
05-016-0680-02-2001,Devonshire Elem School,Skokie SD 68,Cook,Elementary School,K - 5
05-016-0680-02-2004,Jane Stenson School,Skokie SD 68,Cook,Elementary School,K - 5
05-016-0680-02-2005,Highland Elementary School,Skokie SD 68,Cook,Elementary School,K - 5
05-016-0690-02-0000,,Skokie SD 69,Cook,,
05-016-0690-02-1003,Lincoln Jr High School,Skokie SD 69,Cook,Middle/Junior High School,PK - 8
05-016-0690-02-2001,Thomas Edison Elem School,Skokie SD 69,Cook,Elementary School,PK - 5
05-016-0690-02-2004,Madison Elem School,Skokie SD 69,Cook,Elementary School,PK - 2
05-016-0700-02-0000,,Morton Grove SD 70,Cook,,
05-016-0700-02-2003,Park View Elem School,Morton Grove SD 70,Cook,Elementary School,PK - 8
05-016-0710-02-0000,,Niles ESD 71,Cook,,
05-016-0710-02-2001,Clarence E Culver School,Niles ESD 71,Cook,Elementary School,PK - 8
05-016-0720-02-0000,,Fairview SD 72,Cook,,
05-016-0720-02-2002,Fairview South Elementary School,Fairview SD 72,Cook,Elementary School,PK - 8
05-016-0730-02-0000,,East Prairie SD 73,Cook,,
05-016-0730-02-2001,East Prairie Elem School,East Prairie SD 73,Cook,Elementary School,PK - 8
05-016-0735-02-0000,,Skokie SD 73-5,Cook,,
05-016-0735-02-1003,Oliver McCracken Middle School,Skokie SD 73-5,Cook,Middle/Junior High School,6 - 8
05-016-0735-02-2002,John Middleton Elem School,Skokie SD 73-5,Cook,Elementary School,1 - 5
05-016-0735-02-2003,Elizabeth Meyer School,Skokie SD 73-5,Cook,Elementary School,PK - K
05-016-0740-02-0000,,Lincolnwood SD 74,Cook,,
05-016-0740-02-1001,Lincoln Hall Middle School,Lincolnwood SD 74,Cook,Middle/Junior High School,6 - 8
05-016-0740-02-2003,Rutledge Hall Elem School,Lincolnwood SD 74,Cook,Elementary School,3 - 5
05-016-0740-02-2004,Todd Hall Elem School,Lincolnwood SD 74,Cook,Elementary School,PK - 2
05-016-2020-17-0000,,Evanston Twp HSD 202,Cook,,
05-016-2020-17-0001,Evanston Twp High School,Evanston Twp HSD 202,Cook,High School,9 - 12
05-016-2030-17-0000,,New Trier Twp HSD 203,Cook,,
05-016-2030-17-0001,New Trier Township H S Winnetka,New Trier Twp HSD 203,Cook,High School,10 - 12
05-016-2030-17-0002,New Trier Township H S Northfield,New Trier Twp HSD 203,Cook,High School,9
05-016-2070-17-0000,,Maine Township HSD 207,Cook,,
05-016-2070-17-0001,Maine East High School,Maine Township HSD 207,Cook,High School,9 - 12
