school_id,school_name,district,county,school_type,grades_served,year,y_ela_prof,y_math_prof,y_chronic_abs,y_grad_4yr
05-016-0260-02-0000,,River Trails SD 26,Cook,,,2025,55.4,52.3,13.6,
05-016-0260-02-1006,River Trails Middle School,River Trails SD 26,Cook,Middle/Junior High School,8-Jun,2025,54.4,46.8,14,
05-016-0260-02-2001,Euclid Elem School,River Trails SD 26,Cook,Elementary School,PK - 5,2025,44,49.1,14.3,
05-016-0260-02-2003,Indian Grove Elem School,River Trails SD 26,Cook,Elementary School,5-Jan,2025,65.1,65.1,10.7,
05-016-0260-02-2004,Prairie Trails School,River Trails SD 26,Cook,Elementary School,PK - K,2025,,,21.4,
05-016-0270-02-0000,,Northbrook ESD 27,Cook,,,2025,88.2,81.2,10.8,
05-016-0270-02-1005,Wood Oaks Jr High School,Northbrook ESD 27,Cook,Middle/Junior High School,8-Jun,2025,88.7,82.6,13.2,
05-016-0270-02-2002,Hickory Point Elem School,Northbrook ESD 27,Cook,Elementary School,PK - 2,2025,,,9.4,
05-016-0270-02-2004,Shabonee School,Northbrook ESD 27,Cook,Elementary School,5-Mar,2025,87.6,79.9,9.7,
05-016-0280-02-0000,,Northbrook SD 28,Cook,,,2025,86.9,80.7,9.5,
05-016-0280-02-1004,Northbrook Junior High School,Northbrook SD 28,Cook,Middle/Junior High School,8-Jun,2025,88.9,80.1,10.8,
05-016-0280-02-2002,Greenbriar Elem School,Northbrook SD 28,Cook,Elementary School,K - 5,2025,78.8,78.8,9.5,
05-016-0280-02-2003,Meadowbrook Elem School,Northbrook SD 28,Cook,Elementary School,K - 5,2025,85.3,83.9,10.1,
05-016-0280-02-2006,Westmoor Elem School,Northbrook SD 28,Cook,Elementary School,PK - 5,2025,89.9,81,6.2,
05-016-0290-02-0000,,Sunset Ridge SD 29,Cook,,,2025,87,81.9,10,
05-016-0290-02-2001,Middlefork Primary School,Sunset Ridge SD 29,Cook,Elementary School,K - 3,2025,81,81,7.3,
05-016-0290-02-2002,Sunset Ridge Elem School,Sunset Ridge SD 29,Cook,Elementary School,8-Apr,2025,88.3,82.1,12.4,
05-016-0300-02-0000,,Northbrook/Glenview SD 30,Cook,,,2025,88,85.6,7.4,
