,POP20,School Name,year,x_enrollment,n_black,n_white,n_hispanic,n_low_income,county_enrollment,county_n_black,county_n_white,county_n_hispanic,county_n_low_income,pct_black_school,pct_white_school,pct_hispanic_school,pct_low_income_school,pct_black_county,pct_white_county,pct_hispanic_county,pct_low_income_county,seg_black,seg_white,seg_hispanic,seg_low_income,rr_black,rr_white,rr_hispanic,rr_low_income,school,D_black_white,D_lowincome_notlowincome,D_white_hispanic,median_hh_income,total_n_hh,hh_under_0.5_pov,hh_between_0.5_0.74_pov,hh_between_0.75_0.99_pov,hh_between_1.00_to_1.24_pov,hh_between_1.25_to_1.49_pov,hh_between_1.50_to_1.74_pov,hh_between_1.75_to_1.84_pov,hh_between_1.85_to_1.99_pov,hh_between_2.00_to_2.99_pov,hh_between_3.00_to_3.99_pov,hh_between_4.00_to_4.99_pov,hh_between_5.00_and_over_pov,pov_share_under_1_00,Urban,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,LowIncomeTracts,LA1and10,LAhalfand10,LA1and20,transport_length
0,3319.0,Evanston Twp High School,2016,3322.0,1010.0,1438.0,581.0,1325,202153.0,53396,60264,72076,118333,0.3040337146297411,0.4328717639975918,0.174894641782059,0.3988561107766405,0.264136569825825,0.2981108368414023,0.3565418272298704,0.5853635612630038,0.039897144803916,0.1347609271561894,0.1816471854478114,0.1865074504863632,1.1510474101720365,1.452049742921233,0.4905305028049361,0.6813818576545022,Evanston Twp High School         ,0.7582594210265702,0.575559100801645,0.6026948148460517,68460.0,789.0,0.0,41.0,37.0,16.0,39.0,5.0,0.0,0.0,184.0,83.0,58.0,326.0,0.098859316,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40147.42776178445
1,3319.0,Evanston Twp High School,2017,3285.0,966.0,1449.0,591.0,1330,214388.0,58760,58066,79985,127304,0.2940639269406392,0.4410958904109589,0.1799086757990867,0.4048706240487062,0.2740825046177957,0.2708453831371158,0.373085247308618,0.5938018918969346,0.0199814223228435,0.170250507273843,0.1931765715095312,0.1889312678482283,1.0729029470549656,1.6285892906937738,0.4822186808428407,0.6818277771990984,Evanston Twp High School         ,0.7865127144466507,0.6084814665314048,0.6303904112872264,87889.0,802.0,0.0,45.0,37.0,26.0,22.0,12.0,0.0,0.0,119.0,113.0,62.0,366.0,0.1022443890274314,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40147.42776178445
2,3319.0,Evanston Twp High School,2018,3459.0,955.0,1570.0,636.0,1328,214766.0,57263,56658,82313,126859,0.2760913558832032,0.4538884070540618,0.1838681699913269,0.3839259901705695,0.2666297272380172,0.2638127077842861,0.3832683013139882,0.5906847452576293,0.009461628645186,0.1900756992697757,0.1994001313226613,0.2067587550870597,1.035486023044759,1.720494857378881,0.4797374824919189,0.6499676743863071,Evanston Twp High School,0.7864616524779631,0.5877897656269258,0.6230274556540557,90625.0,772.0,0.0,63.0,13.0,29.0,37.0,12.0,0.0,10.0,90.0,85.0,51.0,382.0,0.098445596,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40147.42776178445
3,3319.0,Evanston Twp High School,2019,3514.0,959.0,1606.0,647.0,1283,213394.0,55511,55637,82711,121341,0.2729083665338645,0.4570290267501423,0.1841206602162777,0.365110984632897,0.2601338369401201,0.2607242940288855,0.3875975894355042,0.5686242349831767,0.0127745295937443,0.1963047327212567,0.2034769292192265,0.2035132503502797,1.049107527663481,1.7529207565885987,0.4750304574505491,0.642095363106884,Evanston Twp High School,0.7839074603594075,0.5542569409271805,0.6247704774800023,74233.0,759.0,0.0,77.0,0.0,27.0,49.0,13.0,0.0,10.0,132.0,86.0,39.0,326.0,0.1014492753623188,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40147.42776178445
4,3319.0,Evanston Twp High School,2020,3597.0,935.0,1647.0,673.0,1248,213127.0,54361,56586,83401,121674,0.2599388379204893,0.4578815679733111,0.187100361412288,0.3469557964970809,0.2550638820984671,0.26550366682776,0.3913206679585411,0.5708990414166202,0.0048749558220221,0.1923779011455511,0.2042203065462531,0.2239432449195392,1.019112685739411,1.724577191132928,0.4781254268739788,0.6077358189920061,Evanston Twp High School,0.7873785595622814,0.5458890801078016,0.6231312056700935,43715.0,708.0,0.0,46.0,0.0,19.0,50.0,15.0,0.0,8.0,146.0,82.0,52.0,290.0,0.064971751,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40147.42776178445
5,3319.0,Evanston Twp High School,2021,3621.0,909.0,1651.0,702.0,1177,214047.0,54702,55045,84985,119674,0.2510356255178128,0.455951394642364,0.1938690969345484,0.3250483291908312,0.2555606946137997,0.2571631464117694,0.3970389680771045,0.5591015057440656,0.0045250690959869,0.1987882482305946,0.203169871142556,0.2340531765532343,0.9822935639503358,1.7730044176403683,0.4882873282526245,0.5813762364282121,Evanston Twp High School,0.7967067793961019,0.5492514836824691,0.6148661607598671,52031.0,773.0,0.0,33.0,0.0,15.0,33.0,12.0,0.0,7.0,169.0,85.0,42.0,377.0,0.0426908150064683,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40147.42776178445
6,3319.0,Evanston Twp High School,2022,3636.0,902.0,1640.0,724.0,1153,214727.0,54973,53880,86275,119290,0.2480748074807481,0.451045104510451,0.1991199119911991,0.3171067106710671,0.2560134496360495,0.2509232653555445,0.4017892486738975,0.5555426192327932,0.0079386421553014,0.2001218391549065,0.2026693366826984,0.2384359085617261,0.9689913082043656,1.7975419850819527,0.4955829770169135,0.5708053706284368,Evanston Twp High School,0.7965876587239,0.5284115178179017,0.6101835313650843,76844.0,805.0,0.0,23.0,0.0,0.0,12.0,13.0,0.0,10.0,169.0,56.0,42.0,480.0,0.028571429,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40147.42776178445
7,3319.0,Evanston Twp High School,2023,3579.0,837.0,1611.0,727.0,1267,211933.0,53373,52636,86325,118949,0.2338642078792959,0.4501257334450964,0.2031293657446214,0.3540094998602962,0.2518390245973963,0.2483615104773678,0.4073221253886842,0.5612575672500272,0.0179748167181004,0.2017642229677285,0.2041927596440627,0.207248067389731,0.928625768993364,1.8123812042370169,0.4986946524222976,0.6307433886278333,Evanston Twp High School,0.7939227726308796,0.5118302351061063,0.6030007625551171,71635.0,730.0,0.0,0.0,0.0,0.0,21.0,10.0,0.0,0.0,123.0,70.0,63.0,443.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40147.42776178445
8,3319.0,Evanston Twp High School,2024,3483.0,832.0,1546.0,704.0,1289,210612.0,52648,51800,86482,117471,0.2388745334481768,0.4438702268159633,0.2021246052253804,0.3700832615561297,0.2499762596623174,0.2459498983913547,0.4106223766926861,0.5577602415816763,0.0111017262141405,0.1979203284246085,0.2084977714673056,0.1876769800255465,0.9555888778032864,1.8047180735552828,0.4922396262312136,0.6635167478174153,Evanston Twp High School,0.7885703578630185,0.5226036612987716,0.5984771053748413,80461.0,708.0,0.0,0.0,0.0,0.0,13.0,8.0,0.0,0.0,104.0,64.0,79.0,440.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40147.42776178445
9,3319.0,Evanston Twp High School,2025,3457.0,792.0,1518.0,716.0,1203,208640.0,50846,49298,86055,116033,0.229100376048597,0.4391090540931443,0.2071159965287821,0.3479895863465432,0.2437020705521472,0.2362825920245398,0.4124568634969325,0.5561397622699387,0.0146016945035502,0.2028264620686044,0.2053408669681503,0.2081501759233954,0.940083830759141,1.8584062851635688,0.5021518972257871,0.6257232623076434,Evanston Twp High School,0.7828371078077657,0.5053128806800504,0.5947474157648664,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40147.42776178445
